All elements turn off,5100001810.0,-45.79,1
All elements turn on,5100001810.0,-45.75,2
Only first element turn on,5100001810.0,-45.95,3
Only last element turn on,5100001810.0,-45.86,4
Left side on,5100001810.0,-45.85,5
Right side on,5100001810.0,-46.29,6
Upper half on,5100001810.0,-45.78,7
Lower half on,5100001810.0,-45.76,8
Vertical strips [1010],5100001800.0,-48.68,9
Vertical strips [0101],5100001800.0,-48.72,10
Horizontal strips [1010],5100001800.0,-49.10,11
Horizontal strips [0101],5100001800.0,-51.85,12
Chessboard [1010/0101],5100001800.0,-51.76,13
Chessboard [0101/1010],5100001800.0,-51.96,14
Thick vertical strips [1100],5100001790.0,-52.13,15
Thick vertical strips [0011],5100001790.0,-48.54,16
Thicker vertical strips [11110000],5100001790.0,-46.87,17
Thicker vertical strips [00001111],5100001790.0,-46.87,18
Thick horizontal strips [1100],5100001790.0,-48.41,19
Thick horizontal strips [0011],5100001790.0,-43.62,20
Chessboard [11001100/00110011],5100001790.0,-43.62,21
Chest,5100001780.0,-41.50,22
Dartboard,5100001780.0,-41.51,23
Random 1,5100001780.0,-49.75,24
Random 2,5100001780.0,-46.84,25
Random 3,5100001780.0,-46.84,26
Random 4,5100001780.0,-47.17,27
All elements turn off,5130001790.0,-46.79,1
All elements turn on,5130001780.0,-46.84,2
Only first element turn on,5130001780.0,-46.97,3
Only last element turn on,5130001780.0,-46.86,4
Left side on,5130001780.0,-46.21,5
Right side on,5130001780.0,-46.21,6
Upper half on,5130001780.0,-46.86,7
Lower half on,5130001770.0,-46.86,8
Vertical strips [1010],5130001770.0,-48.34,9
Vertical strips [0101],5130001770.0,-48.34,10
Horizontal strips [1010],5130001770.0,-48.51,11
Horizontal strips [0101],5130001770.0,-50.92,12
Chessboard [1010/0101],5130001770.0,-50.93,13
Chessboard [0101/1010],5130001770.0,-51.41,14
Thick vertical strips [1100],5130001770.0,-51.24,15
Thick vertical strips [0011],5130001770.0,-47.19,16
Thicker vertical strips [11110000],5130001770.0,-45.75,17
Thicker vertical strips [00001111],5130001760.0,-45.75,18
Thick horizontal strips [1100],5130001760.0,-47.29,19
Thick horizontal strips [0011],5130001760.0,-44.47,20
Chessboard [11001100/00110011],5130001760.0,-44.47,21
Chest,5130001760.0,-42.41,22
Dartboard,5130001760.0,-42.41,23
Random 1,5130001760.0,-48.72,24
Random 2,5130001760.0,-45.96,25
Random 3,5130001750.0,-45.96,26
Random 4,5130001750.0,-46.80,27
All elements turn off,5160001760.0,-48.15,1
All elements turn on,5160001760.0,-49.75,2
Only first element turn on,5160001760.0,-49.90,3
Only last element turn on,5160001760.0,-49.79,4
Left side on,5160001760.0,-47.72,5
Right side on,5160001760.0,-47.72,6
Upper half on,5160001760.0,-49.61,7
Lower half on,5160001760.0,-49.64,8
Vertical strips [1010],5160001750.0,-49.96,9
Vertical strips [0101],5160001750.0,-49.97,10
Horizontal strips [1010],5160001750.0,-50.16,11
Horizontal strips [0101],5160001750.0,-52.20,12
Chessboard [1010/0101],5160001750.0,-52.22,13
Chessboard [0101/1010],5160001750.0,-52.43,14
Thick vertical strips [1100],5160001750.0,-51.24,15
Thick vertical strips [0011],5160001750.0,-47.42,16
Thicker vertical strips [11110000],5160001750.0,-46.17,17
Thicker vertical strips [00001111],5160001750.0,-46.17,18
Thick horizontal strips [1100],5160001740.0,-47.24,19
Thick horizontal strips [0011],5160001740.0,-46.85,20
Chessboard [11001100/00110011],5160001740.0,-46.85,21
Chest,5160001740.0,-44.47,22
Dartboard,5160001740.0,-44.48,23
Random 1,5160001740.0,-49.60,24
Random 2,5160001740.0,-46.74,25
