All elements turn off,5100001270.0,-42.25,1
All elements turn on,5100001280.0,-42.24,2
Only first element turn on,5100001280.0,-42.07,3
Only last element turn on,5100001280.0,-42.03,4
Left side on,5100001280.0,-42.23,5
Right side on,5100001280.0,-42.83,6
Upper half on,5100001280.0,-42.79,7
Lower half on,5100001280.0,-48.15,8
Vertical strips [1010],5100001280.0,-50.30,9
Vertical strips [0101],5100001280.0,-49.78,10
Horizontal strips [1010],5100001280.0,-49.93,11
Horizontal strips [0101],5100001280.0,-52.51,12
Chessboard [1010/0101],5100001280.0,-52.88,13
Chessboard [0101/1010],5100001280.0,-53.99,14
Thick vertical strips [1100],5100001280.0,-50.00,15
Thick vertical strips [0011],5100001280.0,-47.55,16
Thicker vertical strips [11110000],5100001280.0,-47.55,17
Thicker vertical strips [00001111],5100001280.0,-43.36,18
Thick horizontal strips [1100],5100001280.0,-43.36,19
Thick horizontal strips [0011],5100001280.0,-49.05,20
Chessboard [11001100/00110011],5100001280.0,-49.06,21
Chest,5100001270.0,-48.89,22
Dartboard,5100001280.0,-48.89,23
Random 1,5100001280.0,-48.56,24
Random 2,5100001280.0,-48.56,25
Random 3,5100001280.0,-49.28,26
Random 4,5100001280.0,-49.39,27
All elements turn off,5130001280.0,-41.96,1
All elements turn on,5130001280.0,-41.96,2
Only first element turn on,5130001280.0,-41.76,3
Only last element turn on,5130001280.0,-41.76,4
Left side on,5130001280.0,-41.97,5
Right side on,5130001280.0,-42.78,6
Upper half on,5130001280.0,-42.78,7
Lower half on,5130001280.0,-47.91,8
Vertical strips [1010],5130001280.0,-48.69,9
Vertical strips [0101],5130001280.0,-48.52,10
Horizontal strips [1010],5130001280.0,-48.52,11
Horizontal strips [0101],5130001280.0,-50.03,12
Chessboard [1010/0101],5130001280.0,-50.14,13
Chessboard [0101/1010],5130001280.0,-51.30,14
Thick vertical strips [1100],5130001280.0,-48.56,15
Thick vertical strips [0011],5130001280.0,-47.10,16
Thicker vertical strips [11110000],5130001280.0,-47.25,17
Thicker vertical strips [00001111],5130001280.0,-42.94,18
Thick horizontal strips [1100],5130001280.0,-42.99,19
Thick horizontal strips [0011],5130001280.0,-48.35,20
Chessboard [11001100/00110011],5130001280.0,-48.08,21
Chest,5130001280.0,-48.10,22
Dartboard,5130001280.0,-48.64,23
Random 1,5130001280.0,-47.35,24
Random 2,5130001280.0,-47.35,25
Random 3,5130001280.0,-47.62,26
Random 4,5130001280.0,-48.04,27
All elements turn off,5160001290.0,-43.36,1
All elements turn on,5160001290.0,-43.36,2
Only first element turn on,5160001290.0,-43.16,3
Only last element turn on,5160001290.0,-43.16,4
Left side on,5160001290.0,-43.38,5
Right side on,5160001290.0,-43.82,6
Upper half on,5160001290.0,-43.82,7
Lower half on,5160001290.0,-48.26,8
Vertical strips [1010],5160001290.0,-48.20,9
Vertical strips [0101],5160001290.0,-48.20,10
Horizontal strips [1010],5160001290.0,-48.32,11
Horizontal strips [0101],5160001290.0,-48.76,12
Chessboard [1010/0101],5160001290.0,-48.76,13
Chessboard [0101/1010],5160001290.0,-49.96,14
Thick vertical strips [1100],5160001290.0,-48.47,15
Thick vertical strips [0011],5160001290.0,-48.06,16
Thicker vertical strips [11110000],5160001290.0,-48.06,17
Thicker vertical strips [00001111],5160001290.0,-43.71,18
Thick horizontal strips [1100],5160001290.0,-43.71,19
Thick horizontal strips [0011],5160001290.0,-48.72,20
Chessboard [11001100/00110011],5160001290.0,-47.77,21
Chest,5160001290.0,-47.77,22
Dartboard,5160001290.0,-48.44,23
Random 1,5160001290.0,-47.42,24
Random 2,5160001290.0,-46.99,25
Random 3,5160001290.0,-46.99,26
Random 4,5160001290.0,-47.78,27
All elements turn off,5190001300.0,-41.84,1
All elements turn on,5190001300.0,-41.84,2
Only first element turn on,5190001300.0,-41.61,3
Only last element turn on,5190001300.0,-41.61,4
Left side on,5190001300.0,-41.86,5
Right side on,5190001300.0,-41.52,6
Upper half on,5190001300.0,-41.52,7
Lower half on,5190001300.0,-44.88,8
Vertical strips [1010],5190001300.0,-43.84,9
Vertical strips [0101],5190001300.0,-43.84,10
Horizontal strips [1010],5190001300.0,-44.36,11
Horizontal strips [0101],5190001300.0,-44.27,12
Chessboard [1010/0101],5190001300.0,-44.27,13
Chessboard [0101/1010],5190001300.0,-45.20,14
Thick vertical strips [1100],5190001300.0,-44.69,15
Thick vertical strips [0011],5190001300.0,-44.69,16
Thicker vertical strips [11110000],5190001300.0,-44.91,17
Thicker vertical strips [00001111],5190001300.0,-40.72,18
Thick horizontal strips [1100],5190001300.0,-40.72,19
Thick horizontal strips [0011],5190001300.0,-45.33,20
Chessboard [11001100/00110011],5190001300.0,-43.95,21
Chest,5190001300.0,-43.95,22
Dartboard,5190001300.0,-44.50,23
Random 1,5190001300.0,-43.82,24
Random 2,5190001300.0,-42.77,25
Random 3,5190001300.0,-42.77,26
Random 4,5190001300.0,-43.87,27
All elements turn off,5220001300.0,-44.54,1
All elements turn on,5220001300.0,-44.48,2
Only first element turn on,5220001300.0,-44.31,3
Only last element turn on,5220001300.0,-44.31,4
Left side on,5220001300.0,-44.00,5
Right side on,5220001300.0,-43.53,6
Upper half on,5220001300.0,-43.53,7
Lower half on,5220001300.0,-46.18,8
Vertical strips [1010],5220001300.0,-44.21,9
Vertical strips [0101],5220001300.0,-44.21,10
Horizontal strips [1010],5220001300.0,-44.50,11
Horizontal strips [0101],5220001300.0,-44.50,12
Chessboard [1010/0101],5220001300.0,-44.53,13
Chessboard [0101/1010],5220001300.0,-45.19,14
Thick vertical strips [1100],5220001300.0,-45.19,15
Thick vertical strips [0011],5220001300.0,-45.50,16
Thicker vertical strips [11110000],5220001300.0,-45.50,17
Thicker vertical strips [00001111],5220001300.0,-42.06,18
Thick horizontal strips [1100],5220001300.0,-42.06,19
Thick horizontal strips [0011],5220001300.0,-46.35,20
Chessboard [11001100/00110011],5220001300.0,-44.75,21
Chest,5220001300.0,-44.75,22
Dartboard,5220001300.0,-45.06,23
Random 1,5220001300.0,-44.58,24
Random 2,5220001300.0,-43.08,25
Random 3,5220001300.0,-43.08,26
Random 4,5220001300.0,-44.54,27
All elements turn off,5250001310.0,-44.24,1
All elements turn on,5250001310.0,-43.13,2
Only first element turn on,5250001310.0,-43.13,3
Only last element turn on,5250001310.0,-45.64,4
Left side on,5250001310.0,-43.10,5
Right side on,5250001310.0,-43.10,6
Upper half on,5250001310.0,-44.68,7
Lower half on,5250001310.0,-46.64,8
Vertical strips [1010],5250001310.0,-43.61,9
Vertical strips [0101],5250001310.0,-43.61,10
Horizontal strips [1010],5250001310.0,-43.75,11
Horizontal strips [0101],5250001310.0,-43.75,12
Chessboard [1010/0101],5250001310.0,-43.84,13
Chessboard [0101/1010],5250001310.0,-44.24,14
Thick vertical strips [1100],5250001310.0,-44.24,15
Thick vertical strips [0011],5250001310.0,-45.36,16
Thicker vertical strips [11110000],5250001310.0,-45.36,17
Thicker vertical strips [00001111],5250001310.0,-42.72,18
Thick horizontal strips [1100],5250001310.0,-42.72,19
Thick horizontal strips [0011],5250001310.0,-46.27,20
Chessboard [11001100/00110011],5250001310.0,-44.80,21
Chest,5250001310.0,-44.80,22
Dartboard,5250001310.0,-44.73,23
Random 1,5250001310.0,-44.42,24
Random 2,5250001310.0,-42.79,25
Random 3,5250001310.0,-42.78,26
Random 4,5250001310.0,-44.22,27
All elements turn off,5280001320.0,-46.14,1
All elements turn on,5280001320.0,-43.62,2
Only first element turn on,5280001320.0,-43.61,3
Only last element turn on,5280001320.0,-49.27,4
Left side on,5280001320.0,-43.93,5
Right side on,5280001320.0,-43.93,6
Upper half on,5280001320.0,-47.94,7
Lower half on,5280001320.0,-49.18,8
Vertical strips [1010],5280001320.0,-45.29,9
Vertical strips [0101],5280001320.0,-45.29,10
Horizontal strips [1010],5280001320.0,-45.31,11
Horizontal strips [0101],5280001320.0,-45.30,12
Chessboard [1010/0101],5280001320.0,-45.34,13
Chessboard [0101/1010],5280001320.0,-45.34,14
Thick vertical strips [1100],5280001320.0,-45.36,15
Thick vertical strips [0011],5280001320.0,-47.06,16
Thicker vertical strips [11110000],5280001320.0,-47.06,17
Thicker vertical strips [00001111],5280001320.0,-45.56,18
Thick horizontal strips [1100],5280001320.0,-45.56,19
Thick horizontal strips [0011],5280001320.0,-48.33,20
Chessboard [11001100/00110011],5280001320.0,-47.49,21
Chest,5280001320.0,-47.49,22
Dartboard,5280001320.0,-46.73,23
Random 1,5280001320.0,-46.20,24
Random 2,5280001320.0,-45.07,25
Random 3,5280001320.0,-45.07,26
Random 4,5280001320.0,-45.17,27
All elements turn off,5310001320.0,-46.42,1
All elements turn on,5310001320.0,-42.47,2
Only first element turn on,5310001320.0,-42.47,3
Only last element turn on,5310001320.0,-49.92,4
Left side on,5310001320.0,-42.75,5
Right side on,5310001320.0,-42.75,6
Upper half on,5310001320.0,-48.07,7
Lower half on,5310001320.0,-50.25,8
Vertical strips [1010],5310001320.0,-45.17,9
Vertical strips [0101],5310001320.0,-45.17,10
Horizontal strips [1010],5310001320.0,-45.07,11
Horizontal strips [0101],5310001320.0,-45.07,12
Chessboard [1010/0101],5310001320.0,-44.82,13
Chessboard [0101/1010],5310001320.0,-44.82,14
Thick vertical strips [1100],5310001320.0,-44.86,15
Thick vertical strips [0011],5310001320.0,-47.78,16
Thicker vertical strips [11110000],5310001320.0,-45.46,17
Thicker vertical strips [00001111],5310001320.0,-45.46,18
Thick horizontal strips [1100],5310001320.0,-46.29,19
Thick horizontal strips [0011],5310001320.0,-48.31,20
Chessboard [11001100/00110011],5310001330.0,-48.16,21
Chest,5310001320.0,-48.15,22
Dartboard,5310001320.0,-47.07,23
Random 1,5310001330.0,-46.46,24
Random 2,5310001330.0,-45.70,25
Random 3,5310001320.0,-44.21,26
Random 4,5310001330.0,-44.21,27
All elements turn off,5340001330.0,-48.60,1
All elements turn on,5340001330.0,-42.92,2
Only first element turn on,5340001330.0,-42.92,3
Only last element turn on,5340001330.0,-50.04,4
Left side on,5340001330.0,-42.81,5
Right side on,5340001330.0,-42.81,6
Upper half on,5340001330.0,-47.85,7
Lower half on,5340001330.0,-52.62,8
Vertical strips [1010],5340001330.0,-46.78,9
Vertical strips [0101],5340001330.0,-46.79,10
Horizontal strips [1010],5340001330.0,-46.53,11
Horizontal strips [0101],5340001330.0,-46.53,12
Chessboard [1010/0101],5340001330.0,-46.00,13
Chessboard [0101/1010],5340001330.0,-46.01,14
Thick vertical strips [1100],5340001330.0,-46.08,15
Thick vertical strips [0011],5340001330.0,-51.65,16
Thicker vertical strips [11110000],5340001330.0,-45.14,17
Thicker vertical strips [00001111],5340001330.0,-45.14,18
Thick horizontal strips [1100],5340001330.0,-48.25,19
Thick horizontal strips [0011],5340001330.0,-50.40,20
