Pattern ID1 [dBm],Pattern ID3 [dBm],Time stamp: 2024-07-17 18:25:50 ,0.001
-63.3194289550781,-63.338999332428,,
-63.3233205337524,-63.342252822876,,
-63.3103965339661,-63.3326248092651,,
-63.3205630340576,-63.3362688484192,,
-63.321291053772,-63.3257785758972,,
-63.321079990387,-63.3420982170105,,
-63.329351146698,-63.3373439483643,,
-63.3171288146973,-63.3441398963928,,
-63.3393955574036,-63.3333031616211,,
-63.3149427108765,-63.3377137107849,,
-63.3243152770996,-63.338900352478,,
-63.319517074585,-63.3353829879761,,
-63.3083209228516,-63.336002620697,,
-63.322656211853,-63.3555470046997,,
-63.3188245239258,-63.3512648696899,,
-63.3214943008423,-63.3500989875793,,
-63.3232618598938,-63.3377909317017,,
-63.3081174354553,-63.3393977241516,,
-63.3328370513916,-63.3347136993408,,
-63.33709923172,-63.3318513870239,,
-63.3216499786377,-63.3466578483582,,
-63.3298702125549,-63.3576579551697,,
-63.3161223373413,-63.3513806762695,,
-63.3306659698486,-63.3521881065369,,
-63.3371862068176,-63.3478227996826,,
-63.3263894615173,-63.3387964324951,,
-63.3216891136169,-63.3537850265503,,
-63.3324160728455,-63.3524087028503,,
-63.3361297683716,-63.3541488838196,,
-63.3375723114014,-63.3644856414795,,
-63.3174409637451,-63.345658416748,,
-63.3344479026794,-63.3515447235107,,
-63.3348487319946,-63.3493134918213,,
-63.3367831420898,-63.3582420539856,,
-63.3344723243713,-63.3476713371277,,
-63.3407692680359,-63.3543161735535,,
-63.3430057182312,-63.3489118385315,,
-63.3289668884277,-63.3521293640137,,
-63.3460896759033,-63.349407333374,,
-63.3399093704224,-63.366739490509,,
-63.3389857597351,-63.3568148765564,,
-63.3455946083069,-63.363807674408,,
-63.3320393218994,-63.353906288147,,
-63.3243706817627,-63.3585006828308,,
-63.3301759376526,-63.3570739707947,,
-63.3423160018921,-63.359950592041,,
-63.3461023445129,-63.3747873535156,,
-63.3263997764587,-63.3599315643311,,
-63.3460629615784,-63.3641952400208,,
-63.3335856933594,-63.3675120506287,,
-63.3421688079834,-63.3548969573975,,
-63.368122379303,-63.37238123703,,
-63.3210692481995,-63.3708241424561,,
-63.3252905273438,-63.3592626533508,,
-63.3392174263,-63.3574171714783,,
-63.3501696205139,-63.3585373420715,,
-63.3295973052979,-63.3559693183899,,
-63.3421454772949,-63.3610777053833,,
-63.3381361885071,-63.3660211334229,,
-63.345639377594,-63.359776927948,,
-63.3424843597412,-63.3502051963806,,
-63.3227387962341,-63.3544678764343,,
-63.3407707710266,-63.3588907012939,,
-63.3368222541809,-63.371555721283,,
-63.3317546691895,-63.3776832580566,,
-63.3536356277466,-63.3677796859741,,
-63.3456547431946,-63.3711482963562,,
