N; Pattern; Power; Rx Angle; Tx Angle; a; c; x; y; b
0;0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff;-45.40515148639679;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
1;0x7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe;-47.57400435209274;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
2;0x3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc;-48.62665370106697;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
3;0x1ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff8;-46.479475021362305;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
4;0x0ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff0;-45.672544330358505;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
5;0x8ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff1;-43.59696486592293;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
6;0x87e187e187e187e187e187e187e187e187e187e187e187e187e187e187e187e1;-45.54668667912483;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
7;0xc7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3;-46.84204035997391;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
8;0xe7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7;-45.85287940502167;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
9;0x63c663c663c663c663c663c663c663c663c663c663c663c663c663c663c663c6;-47.680804789066315;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
10;0x73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce;-47.7108179628849;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
11;0x33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc;-47.22175717353821;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
12;0xb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cd;-43.96212565898895;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
13;0x93c993c993c993c993c993c993c993c993c993c993c993c993c993c993c993c9;-42.297200202941895;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
14;0x9bd99bd99bd99bd99bd99bd99bd99bd99bd99bd99bd99bd99bd99bd99bd99bd9;-43.36341640353203;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
15;0xdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb;-44.3828766644001;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
16;0x4992499249924992499249924992499249924992499249924992499249924992;-45.129723727703094;-2.0884350972159487;-49.76362840013307;3628.8125;4249.572916666667;2388.9479166666665;2418.21875;815.0;
