N; Pattern; Power; Rx Angle; Tx Angle; a; c; x; y; b
0; 0x999b999b999b999b999b999b999b999b999b999b999b999b999b999b999b999b; -94.06852799001173; -48; 80; 3000; 2000; 1000; 500; 0.815;
1; 0xcc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99; -92.57390556776299; -48; 80; 3000; 2000; 1000; 500; 0.815;
2; 0x64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc; -94.5339317127661; -48; 80; 3000; 2000; 1000; 500; 0.815;
3; 0x6664666466646664666466646664666466646664666466646664666466646664; -93.5671552054082; -48; 80; 3000; 2000; 1000; 500; 0.815;
4; 0x3366336633663366336633663366336633663366336633663366336633663366; -95.05002500321702; -48; 80; 3000; 2000; 1000; 500; 0.815;
5; 0x9b339b339b339b339b339b339b339b339b339b339b339b339b339b339b339b33; -93.16093278834853; -48; 80; 3000; 2000; 1000; 500; 0.815;
6; 0xcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc; -93.91109777479303; -48; 80; 3000; 2000; 1000; 500; 0.815;
7; 0xccceccceccceccceccceccceccceccceccceccceccceccceccceccceccceccce; -94.55553059322645; -48; 80; 3000; 2000; 1000; 500; 0.815;
8; 0x6666666666666666666666666666666666666666666666666666666666666666; -94.30220585353096; -48; 80; 3000; 2000; 1000; 500; 0.815;
9; 0x3333333333333333333333333333333333333333333333333333333333333333; -93.66019111374995; -48; 80; 3000; 2000; 1000; 500; 0.815;
10; 0x3331333133313331333133313331333133313331333133313331333133313331; -92.76279346262413; -48; 80; 3000; 2000; 1000; 500; 0.815;
11; 0x9999999999999999999999999999999999999999999999999999999999999999; -93.47473059923706; -48; 80; 3000; 2000; 1000; 500; 0.815;
12; 0xcc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67; -93.51630493741268; -48; 80; 3000; 2000; 1000; 500; 0.815;
13; 0xc633c633c633c633c633c633c633c633c633c633c633c633c633c633c633c633; -91.91483744130656; -48; 80; 3000; 2000; 1000; 500; 0.815;
14; 0x6339633963396339633963396339633963396339633963396339633963396339; -92.53427189807758; -48; 80; 3000; 2000; 1000; 500; 0.815;
15; 0x3398339833983398339833983398339833983398339833983398339833983398; -93.35749696727248; -48; 80; 3000; 2000; 1000; 500; 0.815;
16; 0x39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc; -95.56650397999485; -48; 80; 3000; 2000; 1000; 500; 0.815;
17; 0x9cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc6; -95.48697901953182; -48; 80; 3000; 2000; 1000; 500; 0.815;
18; 0xc639c639c639c639c639c639c639c639c639c639c639c639c639c639c639c639; -91.16135752992511; -48; 80; 3000; 2000; 1000; 500; 0.815;
19; 0xe718e718e718e718e718e718e718e718e718e718e718e718e718e718e718e718; -91.52772510116165; -48; 80; 3000; 2000; 1000; 500; 0.815;
20; 0x738c738c738c738c738c738c738c738c738c738c738c738c738c738c738c738c; -94.17303857687516; -48; 80; 3000; 2000; 1000; 500; 0.815;
21; 0x39c639c639c639c639c639c639c639c639c639c639c639c639c639c639c639c6; -96.69640413167053; -48; 80; 3000; 2000; 1000; 500; 0.815;
22; 0x18e718e718e718e718e718e718e718e718e718e718e718e718e718e718e718e7; -94.96779279638608; -48; 80; 3000; 2000; 1000; 500; 0.815;
23; 0x8c738c738c738c738c738c738c738c738c738c738c738c738c738c738c738c73; -92.34060729725904; -48; 80; 3000; 2000; 1000; 500; 0.815;
24; 0xc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71c; -91.56238334897621; -48; 80; 3000; 2000; 1000; 500; 0.815;
25; 0xe38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38e; -93.84703383665493; -48; 80; 3000; 2000; 1000; 500; 0.815;
26; 0x71c771c771c771c771c771c771c771c771c771c771c771c771c771c771c771c7; -96.88470562082725; -48; 80; 3000; 2000; 1000; 500; 0.815;
27; 0x38e338e338e338e338e338e338e338e338e338e338e338e338e338e338e338e3; -94.71858689138558; -48; 80; 3000; 2000; 1000; 500; 0.815;
28; 0x1c711c711c711c711c711c711c711c711c711c711c711c711c711c711c711c71; -91.88640220735054; -48; 80; 3000; 2000; 1000; 500; 0.815;
29; 0x8e388e388e388e388e388e388e388e388e388e388e388e388e388e388e388e38; -91.12282722438485; -48; 80; 3000; 2000; 1000; 500; 0.815;
30; 0xc3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3; -94.3743975626193; -48; 80; 3000; 2000; 1000; 500; 0.815;
31; 0xf1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1; -94.77051790148394; -48; 80; 3000; 2000; 1000; 500; 0.815;
32; 0x7878787878787878787878787878787878787878787878787878787878787878; -93.55643423192672; -48; 80; 3000; 2000; 1000; 500; 0.815;
33; 0x3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c; -92.87626876572303; -48; 80; 3000; 2000; 1000; 500; 0.815;
34; 0x0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e; -92.3940602206104; -48; 80; 3000; 2000; 1000; 500; 0.815;
35; 0x8787878787878787878787878787878787878787878787878787878787878787; -93.92292786579743; -48; 80; 3000; 2000; 1000; 500; 0.815;
36; 0xe1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0; -93.89980933392515; -48; 80; 3000; 2000; 1000; 500; 0.815;
37; 0xf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07c; -93.39228004282998; -48; 80; 3000; 2000; 1000; 500; 0.815;
38; 0x7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e; -93.97699639411121; -48; 80; 3000; 2000; 1000; 500; 0.815;
39; 0x1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f; -93.80947634587193; -48; 80; 3000; 2000; 1000; 500; 0.815;
40; 0x0f830f830f830f830f830f830f830f830f830f830f830f830f830f830f830f83; -93.38354968458363; -48; 80; 3000; 2000; 1000; 500; 0.815;
41; 0x83e183e183e183e183e183e183e183e183e183e183e183e183e183e183e183e1; -93.34255219051003; -48; 80; 3000; 2000; 1000; 500; 0.815;
42; 0xe07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07c; -92.97142014208268; -48; 80; 3000; 2000; 1000; 500; 0.815;
43; 0xf81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81f; -93.89440607335276; -48; 80; 3000; 2000; 1000; 500; 0.815;
44; 0x7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f; -94.52478322234911; -48; 80; 3000; 2000; 1000; 500; 0.815;
45; 0x1f831f831f831f831f831f831f831f831f831f831f831f831f831f831f831f83; -93.8644592613116; -48; 80; 3000; 2000; 1000; 500; 0.815;
46; 0x07e007e007e007e007e007e007e007e007e007e007e007e007e007e007e007e0; -92.94879483039844; -48; 80; 3000; 2000; 1000; 500; 0.815;
47; 0x81f081f081f081f081f081f081f081f081f081f081f081f081f081f081f081f0; -93.54907413211735; -48; 80; 3000; 2000; 1000; 500; 0.815;
48; 0xf01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01f; -93.87782196428742; -48; 80; 3000; 2000; 1000; 500; 0.815;
49; 0xfe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03; -93.67691392829799; -48; 80; 3000; 2000; 1000; 500; 0.815;
50; 0x3f803f803f803f803f803f803f803f803f803f803f803f803f803f803f803f80; -94.04900673488044; -48; 80; 3000; 2000; 1000; 500; 0.815;
51; 0x0fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe0; -92.96981839241808; -48; 80; 3000; 2000; 1000; 500; 0.815;
52; 0x01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc; -93.91890425619309; -48; 80; 3000; 2000; 1000; 500; 0.815;
53; 0xc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07f; -93.30801292271126; -48; 80; 3000; 2000; 1000; 500; 0.815;
54; 0xf801f801f801f801f801f801f801f801f801f801f801f801f801f801f801f801; -93.62223213523504; -48; 80; 3000; 2000; 1000; 500; 0.815;
55; 0xff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00; -93.0934035165514; -48; 80; 3000; 2000; 1000; 500; 0.815;
56; 0x3ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff0; -93.54016815871341; -48; 80; 3000; 2000; 1000; 500; 0.815;
57; 0x07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe; -93.28564645071445; -48; 80; 3000; 2000; 1000; 500; 0.815;
58; 0x00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff; -94.3441144953276; -48; 80; 3000; 2000; 1000; 500; 0.815;
59; 0xc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00f; -94.15979988235424; -48; 80; 3000; 2000; 1000; 500; 0.815;
60; 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff; -94.16867625033463; -48; 80; 3000; 2000; 1000; 500; 0.815;
61; 0x0000000000000000000000000000000000000000000000000000000000000000; -93.32089919729975; -48; 80; 3000; 2000; 1000; 500; 0.815;
