N; Pattern; Power; Rx Angle; Tx Angle; a; c; x; y; b
0; 0x3278327832783278327832783278327832783278327832783278327832783278; -86.08481686021747; -48; 80; 3000; 2000; 1000; 500; 0.815;
1; 0xf23cf23cf23cf23cf23cf23cf23cf23cf23cf23cf23cf23cf23cf23cf23cf23c; -85.39605057305053; -48; 80; 3000; 2000; 1000; 500; 0.815;
2; 0xb278b278b278b278b278b278b278b278b278b278b278b278b278b278b278b278; -85.92938323586947; -48; 80; 3000; 2000; 1000; 500; 0.815;
3; 0xb35cb35cb35cb35cb35cb35cb35cb35cb35cb35cb35cb35cb35cb35cb35cb35c; -85.74025613641663; -48; 80; 3000; 2000; 1000; 500; 0.815;
4; 0x5d835d835d835d835d835d835d835d835d835d835d835d835d835d835d835d83; -84.89306542347877; -48; 80; 3000; 2000; 1000; 500; 0.815;
5; 0xc883c883c883c883c883c883c883c883c883c883c883c883c883c883c883c883; -85.07050806846225; -48; 80; 3000; 2000; 1000; 500; 0.815;
6; 0x4c934c934c934c934c934c934c934c934c934c934c934c934c934c934c934c93; -85.87043081933811; -48; 80; 3000; 2000; 1000; 500; 0.815;
7; 0x4c874c874c874c874c874c874c874c874c874c874c874c874c874c874c874c87; -85.71398168006522; -48; 80; 3000; 2000; 1000; 500; 0.815;
8; 0xb374b374b374b374b374b374b374b374b374b374b374b374b374b374b374b374; -85.89844250579495; -48; 80; 3000; 2000; 1000; 500; 0.815;
9; 0x4c874c874c874c874c874c874c874c874c874c874c874c874c874c874c874c87; -85.72120660583509; -48; 80; 3000; 2000; 1000; 500; 0.815;
10; 0x4f034f034f034f034f034f034f034f034f034f034f034f034f034f034f034f03; -85.19375748378462; -48; 80; 3000; 2000; 1000; 500; 0.815;
11; 0xa27ca27ca27ca27ca27ca27ca27ca27ca27ca27ca27ca27ca27ca27ca27ca27c; -87.20398834143703; -48; 80; 3000; 2000; 1000; 500; 0.815;
12; 0x0f830f830f830f830f830f830f830f830f830f830f830f830f830f830f830f83; -85.75724353557062; -48; 80; 3000; 2000; 1000; 500; 0.815;
13; 0xa2fca2fca2fca2fca2fca2fca2fca2fca2fca2fca2fca2fca2fca2fca2fca2fc; -87.41402829789217; -48; 80; 3000; 2000; 1000; 500; 0.815;
14; 0x0983098309830983098309830983098309830983098309830983098309830983; -85.95689741318046; -48; 80; 3000; 2000; 1000; 500; 0.815;
