N; Pattern; Power; Rx Angle; Tx Angle; a; c; x; y; b
0; 0x999b999b999b999b999b999b999b999b999b999b999b999b999b999b999b999b; -101.73424695292006; -48; 80; 3000; 2000; 1000; 500; 0.815;
1; 0xcc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99cc99; -100.06602976700256; -48; 80; 3000; 2000; 1000; 500; 0.815;
2; 0x64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc64cc; -101.74395550077566; -48; 80; 3000; 2000; 1000; 500; 0.815;
3; 0x6664666466646664666466646664666466646664666466646664666466646664; -101.58531631042288; -48; 80; 3000; 2000; 1000; 500; 0.815;
4; 0x3366336633663366336633663366336633663366336633663366336633663366; -102.54304534274566; -48; 80; 3000; 2000; 1000; 500; 0.815;
5; 0x9b339b339b339b339b339b339b339b339b339b339b339b339b339b339b339b33; -101.00621894375612; -48; 80; 3000; 2000; 1000; 500; 0.815;
6; 0xcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc; -100.92397509015913; -48; 80; 3000; 2000; 1000; 500; 0.815;
7; 0xccceccceccceccceccceccceccceccceccceccceccceccceccceccceccceccce; -101.89365049638113; -48; 80; 3000; 2000; 1000; 500; 0.815;
8; 0x6666666666666666666666666666666666666666666666666666666666666666; -101.91731497015695; -48; 80; 3000; 2000; 1000; 500; 0.815;
9; 0x3333333333333333333333333333333333333333333333333333333333333333; -102.07368862718532; -48; 80; 3000; 2000; 1000; 500; 0.815;
10; 0x3331333133313331333133313331333133313331333133313331333133313331; -100.7385299256746; -48; 80; 3000; 2000; 1000; 500; 0.815;
11; 0x9999999999999999999999999999999999999999999999999999999999999999; -101.05201846207065; -48; 80; 3000; 2000; 1000; 500; 0.815;
12; 0xcc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67cc67; -101.7588884686792; -48; 80; 3000; 2000; 1000; 500; 0.815;
13; 0xc633c633c633c633c633c633c633c633c633c633c633c633c633c633c633c633; -99.2583823648272; -48; 80; 3000; 2000; 1000; 500; 0.815;
14; 0x6339633963396339633963396339633963396339633963396339633963396339; -99.83658121857154; -48; 80; 3000; 2000; 1000; 500; 0.815;
15; 0x3398339833983398339833983398339833983398339833983398339833983398; -99.96495258250421; -48; 80; 3000; 2000; 1000; 500; 0.815;
16; 0x39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc39cc; -101.97833578904886; -48; 80; 3000; 2000; 1000; 500; 0.815;
17; 0x9cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc69cc6; -102.8085228144829; -48; 80; 3000; 2000; 1000; 500; 0.815;
18; 0xc639c639c639c639c639c639c639c639c639c639c639c639c639c639c639c639; -97.60597759335049; -48; 80; 3000; 2000; 1000; 500; 0.815;
19; 0xe718e718e718e718e718e718e718e718e718e718e718e718e718e718e718e718; -97.23487133886664; -48; 80; 3000; 2000; 1000; 500; 0.815;
20; 0x738c738c738c738c738c738c738c738c738c738c738c738c738c738c738c738c; -99.27434182820244; -48; 80; 3000; 2000; 1000; 500; 0.815;
21; 0x39c639c639c639c639c639c639c639c639c639c639c639c639c639c639c639c6; -102.16008694461809; -48; 80; 3000; 2000; 1000; 500; 0.815;
22; 0x18e718e718e718e718e718e718e718e718e718e718e718e718e718e718e718e7; -102.32831897288442; -48; 80; 3000; 2000; 1000; 500; 0.815;
23; 0x8c738c738c738c738c738c738c738c738c738c738c738c738c738c738c738c73; -100.24415573998915; -48; 80; 3000; 2000; 1000; 500; 0.815;
24; 0xc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71cc71c; -97.02975327516083; -48; 80; 3000; 2000; 1000; 500; 0.815;
25; 0xe38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38ee38e; -98.02737251979102; -48; 80; 3000; 2000; 1000; 500; 0.815;
26; 0x71c771c771c771c771c771c771c771c771c771c771c771c771c771c771c771c7; -101.52118674907214; -48; 80; 3000; 2000; 1000; 500; 0.815;
27; 0x38e338e338e338e338e338e338e338e338e338e338e338e338e338e338e338e3; -101.89336473601531; -48; 80; 3000; 2000; 1000; 500; 0.815;
28; 0x1c711c711c711c711c711c711c711c711c711c711c711c711c711c711c711c71; -99.23695669494916; -48; 80; 3000; 2000; 1000; 500; 0.815;
29; 0x8e388e388e388e388e388e388e388e388e388e388e388e388e388e388e388e38; -97.60970705423331; -48; 80; 3000; 2000; 1000; 500; 0.815;
30; 0xc3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3; -101.07808970996403; -48; 80; 3000; 2000; 1000; 500; 0.815;
31; 0xf1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1f1e1; -102.2229253303948; -48; 80; 3000; 2000; 1000; 500; 0.815;
32; 0x7878787878787878787878787878787878787878787878787878787878787878; -101.80249855430212; -48; 80; 3000; 2000; 1000; 500; 0.815;
33; 0x3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c; -100.87706589094435; -48; 80; 3000; 2000; 1000; 500; 0.815;
34; 0x0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e0e1e; -99.46257343046183; -48; 80; 3000; 2000; 1000; 500; 0.815;
35; 0x8787878787878787878787878787878787878787878787878787878787878787; -100.54183101445665; -48; 80; 3000; 2000; 1000; 500; 0.815;
36; 0xe1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0e1f0; -101.12759618432774; -48; 80; 3000; 2000; 1000; 500; 0.815;
37; 0xf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07cf07c; -101.00180473135198; -48; 80; 3000; 2000; 1000; 500; 0.815;
38; 0x7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e; -101.34304635833959; -48; 80; 3000; 2000; 1000; 500; 0.815;
39; 0x1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f1e0f; -101.5306710145231; -48; 80; 3000; 2000; 1000; 500; 0.815;
40; 0x0f830f830f830f830f830f830f830f830f830f830f830f830f830f830f830f83; -101.95784155358027; -48; 80; 3000; 2000; 1000; 500; 0.815;
41; 0x83e183e183e183e183e183e183e183e183e183e183e183e183e183e183e183e1; -101.359029965957; -48; 80; 3000; 2000; 1000; 500; 0.815;
42; 0xe07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07ce07c; -100.54305225493249; -48; 80; 3000; 2000; 1000; 500; 0.815;
43; 0xf81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81f; -101.1076299329523; -48; 80; 3000; 2000; 1000; 500; 0.815;
44; 0x7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f7e0f; -101.89338972850145; -48; 80; 3000; 2000; 1000; 500; 0.815;
45; 0x1f831f831f831f831f831f831f831f831f831f831f831f831f831f831f831f83; -102.34792748120832; -48; 80; 3000; 2000; 1000; 500; 0.815;
46; 0x07e007e007e007e007e007e007e007e007e007e007e007e007e007e007e007e0; -100.81768669204902; -48; 80; 3000; 2000; 1000; 500; 0.815;
47; 0x81f081f081f081f081f081f081f081f081f081f081f081f081f081f081f081f0; -101.3326293902221; -48; 80; 3000; 2000; 1000; 500; 0.815;
48; 0xf01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01f; -100.41594457801254; -48; 80; 3000; 2000; 1000; 500; 0.815;
49; 0xfe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03fe03; -101.64887314697212; -48; 80; 3000; 2000; 1000; 500; 0.815;
50; 0x3f803f803f803f803f803f803f803f803f803f803f803f803f803f803f803f80; -101.40883146412703; -48; 80; 3000; 2000; 1000; 500; 0.815;
51; 0x0fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe0; -100.52049752759707; -48; 80; 3000; 2000; 1000; 500; 0.815;
52; 0x01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc01fc; -101.27489780006289; -48; 80; 3000; 2000; 1000; 500; 0.815;
53; 0xc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07fc07f; -101.08745178230438; -48; 80; 3000; 2000; 1000; 500; 0.815;
54; 0xf801f801f801f801f801f801f801f801f801f801f801f801f801f801f801f801; -101.59860859218352; -48; 80; 3000; 2000; 1000; 500; 0.815;
55; 0xff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00; -99.95771062993492; -48; 80; 3000; 2000; 1000; 500; 0.815;
56; 0x3ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff0; -101.81324186203709; -48; 80; 3000; 2000; 1000; 500; 0.815;
57; 0x07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe07fe; -100.39354399655977; -48; 80; 3000; 2000; 1000; 500; 0.815;
58; 0x00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff; -102.44714765579488; -48; 80; 3000; 2000; 1000; 500; 0.815;
59; 0xc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00fc00f; -100.33823155663846; -48; 80; 3000; 2000; 1000; 500; 0.815;
60; 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff; -101.37263150657789; -48; 80; 3000; 2000; 1000; 500; 0.815;
61; 0x0000000000000000000000000000000000000000000000000000000000000000; -100.86643056273593; -48; 80; 3000; 2000; 1000; 500; 0.815;
