VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[2.  1.5 1. ]
POINST TOTAL =  1408 Point Range =  88
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 1408 swtcnt: 1
Measurement time: 0.804 s
PAT:  000000000000000000000000000000000000000000000000000000000000000c POW MAX:  -73.19581195286342
PAT:  000000000000000000000000000000000000000000000000000000000000001c POW MAX:  -74.59425081525531
PAT:  000000000000000000000000000000000000000000000000000000000000061c POW MAX:  -72.83645793369838
PAT:  000000000000000000000000000000000000000000000000000000000000b61c POW MAX:  -72.45547839573452
PAT:  00000000000000000000000000000000000000000000000000000000000fb61c POW MAX:  -71.26948411124093
PAT:  00000000000000000000000000000000000000000000000000000000000fb61c POW MAX:  -71.2693647657122
PAT:  000000000000000000000000000000000000000000000000000000000f0fb61c POW MAX:  -70.19263158525739
PAT:  000000000000000000000000000000000000000000000000000000007f0fb61c POW MAX:  -69.87690026419503
PAT:  0000000000000000000000000000000000000000000000000000000e7f0fb61c POW MAX:  -70.62306840079171
PAT:  0000000000000000000000000000000000000000000000000000000e7f0fb61c POW MAX:  -70.66401645115444
PAT:  00000000000000000000000000000000000000000000000000000e0e7f0fb61c POW MAX:  -69.85808372497559
PAT:  00000000000000000000000000000000000000000000000000008e0e7f0fb61c POW MAX:  -69.47456087384906
PAT:  000000000000000000000000000000000000000000000000000c8e0e7f0fb61c POW MAX:  -68.68348475864956
PAT:  000000000000000000000000000000000000000000000000000c8e0e7f0fb61c POW MAX:  -68.79142216273716
PAT:  0000000000000000000000000000000000000000000000000f0c8e0e7f0fb61c POW MAX:  -67.93221936907086
PAT:  000000000000000000000000000000000000000000000000cf0c8e0e7f0fb61c POW MAX:  -67.86282975333077
PAT:  00000000000000000000000000000000000000000000000fcf0c8e0e7f0fb61c POW MAX:  -66.64003263201032
PAT:  00000000000000000000000000000000000000000000000fcf0c8e0e7f0fb61c POW MAX:  -66.5312020438058
PAT:  000000000000000000000000000000000000000000000e0fcf0c8e0e7f0fb61c POW MAX:  -65.49421392168317
PAT:  00000000000000000000000000000000000000000000ce0fcf0c8e0e7f0fb61c POW MAX:  -65.37647083827427
PAT:  0000000000000000000000000000000000000000000dce0fcf0c8e0e7f0fb61c POW MAX:  -65.09446988786969
PAT:  0000000000000000000000000000000000000000000dce0fcf0c8e0e7f0fb61c POW MAX:  -65.24754224504743
PAT:  00000000000000000000000000000000000000000f0dce0fcf0c8e0e7f0fb61c POW MAX:  -64.53345952715192
PAT:  00000000000000000000000000000000000000004f0dce0fcf0c8e0e7f0fb61c POW MAX:  -64.6670777457101
PAT:  000000000000000000000000000000000000000e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -64.21327372959682
PAT:  000000000000000000000000000000000000000e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -64.17266409737724
PAT:  0000000000000000000000000000000000000e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -63.71463830130441
PAT:  0000000000000000000000000000000000007e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -63.475019863673616
PAT:  00000000000000000000000000000000000e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -63.445423807416645
PAT:  00000000000000000000000000000000000e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -63.58183601924351
PAT:  000000000000000000000000000000000f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -63.02444471631731
PAT:  000000000000000000000000000000008f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -62.95143972124372
PAT:  0000000000000000000000000000000f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -62.238031659807476
PAT:  0000000000000000000000000000000f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -62.117379324776785
PAT:  0000000000000000000000000000060f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -61.934042249407085
PAT:  0000000000000000000000000000860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -62.1254311970302
PAT:  000000000000000000000000000d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -61.768023354666575
PAT:  000000000000000000000000000d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -61.84015165056501
PAT:  0000000000000000000000000f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -61.61121804373605
PAT:  0000000000000000000000008f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -61.49431051526751
