VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[3.  2.5 2.  1.5 1. ]
POINST TOTAL =  2112 Point Range =  132
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 2112 swtcnt: 1
Measurement time: 1.156 s
PAT:  0000000000000000000000000000000000000000000000000000000000000003 POW MAX:  -70.76842149098714
PAT:  00000000000000000000000000000000000000000000000000000000000000c3 POW MAX:  -70.16869481404622
PAT:  00000000000000000000000000000000000000000000000000000000000003c3 POW MAX:  -69.46300771501329
PAT:  000000000000000000000000000000000000000000000000000000000000e3c3 POW MAX:  -68.90790557861328
PAT:  000000000000000000000000000000000000000000000000000000000003e3c3 POW MAX:  -68.72350396050348
PAT:  0000000000000000000000000000000000000000000000000000000000a3e3c3 POW MAX:  -68.23293760087755
PAT:  0000000000000000000000000000000000000000000000000000000003a3e3c3 POW MAX:  -67.65302891201443
PAT:  00000000000000000000000000000000000000000000000000000000e3a3e3c3 POW MAX:  -67.06906594170465
PAT:  00000000000000000000000000000000000000000000000000000003e3a3e3c3 POW MAX:  -66.83095052507188
PAT:  000000000000000000000000000000000000000000000000000000c3e3a3e3c3 POW MAX:  -66.42484177483453
PAT:  000000000000000000000000000000000000000000000000000003c3e3a3e3c3 POW MAX:  -66.02394209967719
PAT:  0000000000000000000000000000000000000000000000000000c3c3e3a3e3c3 POW MAX:  -65.65549182891846
PAT:  0000000000000000000000000000000000000000000000000003c3c3e3a3e3c3 POW MAX:  -65.34640259212918
PAT:  00000000000000000000000000000000000000000000000000c3c3c3e3a3e3c3 POW MAX:  -65.17569192250569
PAT:  00000000000000000000000000000000000000000000000007c3c3c3e3a3e3c3 POW MAX:  -64.70006381140814
PAT:  000000000000000000000000000000000000000000000000c7c3c3c3e3a3e3c3 POW MAX:  -64.55212741427951
PAT:  000000000000000000000000000000000000000000000002c7c3c3c3e3a3e3c3 POW MAX:  -64.34806029001872
PAT:  000000000000000000000000000000000000000000000082c7c3c3c3e3a3e3c3 POW MAX:  -64.1725082397461
PAT:  000000000000000000000000000000000000000000000782c7c3c3c3e3a3e3c3 POW MAX:  -63.64719692866007
PAT:  00000000000000000000000000000000000000000000c782c7c3c3c3e3a3e3c3 POW MAX:  -63.49518553415934
PAT:  00000000000000000000000000000000000000000007c782c7c3c3c3e3a3e3c3 POW MAX:  -63.28243186738756
PAT:  000000000000000000000000000000000000000000c7c782c7c3c3c3e3a3e3c3 POW MAX:  -63.02326154708862
PAT:  000000000000000000000000000000000000000007c7c782c7c3c3c3e3a3e3c3 POW MAX:  -62.66260968314277
