N; Pattern; Power; Rx Angle; Tx Angle; a; c; x; y; b
0;0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff;-40.37381789088249;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
1;0x7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe7ffe;-40.58545672893524;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
2;0x3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc3ffc;-41.00206869840622;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
3;0x1ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff81ff8;-41.52673161029816;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
4;0x0ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff0;-42.70734745264053;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
5;0x8ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff18ff1;-42.35903775691986;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
6;0x87e187e187e187e187e187e187e187e187e187e187e187e187e187e187e187e1;-44.12481680512428;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
7;0xc7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3c7e3;-43.45196160674095;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
8;0xe7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7;-42.80664399266243;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
9;0x63c663c663c663c663c663c663c663c663c663c663c663c663c663c663c663c6;-44.29154846072197;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
10;0x73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce73ce;-43.20296311378479;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
11;0x33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc33cc;-43.72304093837738;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
12;0xb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cdb3cd;-43.476073026657104;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
13;0x93c993c993c993c993c993c993c993c993c993c993c993c993c993c993c993c9;-44.517281502485275;59.32225136326383;-49.572470749653;3624.1875;4243.177083333333;2841.2083333333335;2142.7604166666665;815.0;
