Pomiar No,Date,Avg Noise Level,Avg Pat1 Power,Avg Pat2 Power
477,Sun May 12 00:58:11 2024,-115.24048127292707,-115.20224758011987,-113.06354506623376
879,Sun May 12 09:12:59 2024,-115.21712544265733,-115.00671841648351,-112.96119994795205
215,Sat May 11 19:35:41 2024,-115.3309401976024,-114.98271152367633,-112.97546657232768
24,Sat May 11 15:40:30 2024,-115.3246155131868,-114.99414393216783,-113.04257935354644
683,Sun May 12 05:11:44 2024,-115.22956215944055,-115.02216508861139,-113.08320165754246
589,Sun May 12 03:16:04 2024,-115.20879956803196,-115.05630926543456,-113.11907492437561
127,Sat May 11 17:47:22 2024,-115.09328884735265,-114.98409658181818,-113.07447957582417
108,Sat May 11 17:23:58 2024,-115.14022873516483,-115.15783746833166,-113.25352458211788
682,Sun May 12 05:10:31 2024,-115.20160148831168,-115.25231867862136,-113.35163254195804
219,Sat May 11 19:40:36 2024,-115.32493722977023,-115.03191117962037,-113.14218699020978
