Pomiar No,Date,Avg Noise Level,Avg Pat1 Power,Avg Pat2 Power
461,Sun May 12 00:38:28 2024,-115.3457483107892,-114.50760433896103,-113.5487946954046
816,Sun May 12 07:55:25 2024,-115.10682519810189,-114.35122385924076,-113.37552014745256
292,Sat May 11 21:10:26 2024,-115.33004001058941,-114.44123784425574,-113.45136616793205
721,Sun May 12 05:58:31 2024,-115.33116612187813,-114.62462012827173,-113.6192409201798
548,Sun May 12 02:25:36 2024,-115.37985743626372,-114.63805171168832,-113.61970466703296
214,Sat May 11 19:34:27 2024,-115.07736073056944,-114.55689794125874,-113.53280261608391
314,Sat May 11 21:37:31 2024,-115.15125484015985,-114.63591025304694,-113.5804488025974
175,Sat May 11 18:46:27 2024,-115.35114698691308,-114.56682470699302,-113.50086046743256
953,Sun May 12 10:44:04 2024,-115.41880547062937,-114.43402945504496,-113.36685679880121
656,Sun May 12 04:38:31 2024,-114.9252111016983,-114.60475294035965,-113.51734187142856
