All elements turn off;5500000000.0;-80.06;1
All elements turn on;5500000000.0;-79.89;2
Only first element turn on;5500000000.0;-79.90;3
Only last element turn on;5500000000.0;-79.54;4
Left side on;5500000000.0;-79.92;5
Right side on;5500000000.0;-79.51;6
Upper half on;5500000000.0;-78.97;7
Lower half on;5500000000.0;-78.79;8
Vertical strips [1010];5500000000.0;-79.91;9
Vertical strips [0101];5500000000.0;-79.94;10
Horizontal strips [1010];5500000000.0;-79.91;11
Horizontal strips [0101];5500000000.0;-79.84;12
Chessboard [1010/0101];5500000000.0;-79.86;13
Chessboard [0101/1010];5500000000.0;-79.86;14
Thick vertical strips [1100];5500000000.0;-79.94;15
Thick vertical strips [0011];5500000000.0;-79.85;16
Thicker vertical strips [11110000];5500000000.0;-79.84;17
Thicker vertical strips [00001111];5500000000.0;-79.88;18
Thick horizontal strips [1100];5500000000.0;-79.97;19
Thick horizontal strips [0011];5500000000.0;-79.87;20
Chessboard [11001100/00110011];5500000000.0;-79.87;21
Chest;5500000000.0;-79.91;22
Dartboard;5500000000.0;-80.00;23
Random 1;5500000000.0;-79.94;24
Random 2;5500000000.0;-79.94;25
Random 3;5500000000.0;-79.85;26
Random 4;5500000000.0;-79.88;27
