All elements turn off;5500000000.0;-73.90;1
All elements turn on;5500000000.0;-73.94;2
Only first element turn on;5500000000.0;-73.85;3
Only last element turn on;5500000000.0;-73.85;4
Left side on;5500000000.0;-74.05;5
Right side on;5500000000.0;-73.77;6
Upper half on;5500000000.0;-73.75;7
Lower half on;5500000000.0;-73.29;8
Vertical strips [1010];5500000000.0;-73.28;9
Vertical strips [0101];5500000000.0;-74.06;10
Horizontal strips [1010];5500000000.0;-73.84;11
Horizontal strips [0101];5500000000.0;-73.80;12
Chessboard [1010/0101];5500000000.0;-73.82;13
Chessboard [0101/1010];5500000000.0;-73.85;14
Thick vertical strips [1100];5500000000.0;-73.81;15
Thick vertical strips [0011];5500000000.0;-73.79;16
Thicker vertical strips [11110000];5500000000.0;-74.05;17
Thicker vertical strips [00001111];5500000000.0;-73.43;18
Thick horizontal strips [1100];5500000000.0;-73.37;19
Thick horizontal strips [0011];5500000000.0;-73.36;20
Chessboard [11001100/00110011];5500000000.0;-73.80;21
Chest;5500000000.0;-73.21;22
Dartboard;5500000000.0;-73.23;23
Random 1;5500000000.0;-73.79;24
Random 2;5500000000.0;-74.16;25
Random 3;5500000000.0;-74.18;26
Random 4;5500000000.0;-73.93;27
