All elements turn off;5500000000.0;-71.37;1
All elements turn on;5500000000.0;-69.82;2
Only first element turn on;5500000000.0;-69.82;3
Only last element turn on;5500000000.0;-71.36;4
Left side on;5500000000.0;-70.48;5
Right side on;5500000000.0;-70.50;6
Upper half on;5500000000.0;-70.54;7
Lower half on;5500000000.0;-69.64;8
Vertical strips [1010];5500000000.0;-69.63;9
Vertical strips [0101];5500000000.0;-70.32;10
Horizontal strips [1010];5500000000.0;-70.02;11
Horizontal strips [0101];5500000000.0;-70.03;12
Chessboard [1010/0101];5500000000.0;-70.00;13
Chessboard [0101/1010];5500000000.0;-70.01;14
Thick vertical strips [1100];5500000000.0;-70.02;15
Thick vertical strips [0011];5500000000.0;-70.32;16
Thicker vertical strips [11110000];5500000000.0;-70.32;17
Thicker vertical strips [00001111];5500000000.0;-69.09;18
Thick horizontal strips [1100];5500000000.0;-69.09;19
Thick horizontal strips [0011];5500000000.0;-70.28;20
Chessboard [11001100/00110011];5500000000.0;-70.56;21
Chest;5500000000.0;-70.65;22
Dartboard;5500000000.0;-70.16;23
Random 1;5500000000.0;-69.34;24
Random 2;5500000000.0;-69.35;25
Random 3;5500000000.0;-69.43;26
Random 4;5500000000.0;-69.63;27
