All elements turn off,5100001450.0,-41.65,1
All elements turn on,5100001450.0,-41.67,2
Only first element turn on,5100001450.0,-41.60,3
Only last element turn on,5100001450.0,-41.67,4
Left side on,5100001450.0,-41.71,5
Right side on,5100001450.0,-49.08,6
Upper half on,5100001450.0,-49.05,7
Lower half on,5100001450.0,-54.59,8
Vertical strips [1010],5100001450.0,-52.60,9
Vertical strips [0101],5100001450.0,-52.54,10
Horizontal strips [1010],5100001450.0,-51.55,11
Horizontal strips [0101],5100001450.0,-51.71,12
Chessboard [1010/0101],5100001450.0,-52.28,13
Chessboard [0101/1010],5100001450.0,-52.57,14
Thick vertical strips [1100],5100001450.0,-52.07,15
Thick vertical strips [0011],5100001450.0,-50.61,16
Thicker vertical strips [11110000],5100001450.0,-50.50,17
Thicker vertical strips [00001111],5100001450.0,-49.17,18
Thick horizontal strips [1100],5100001450.0,-49.29,19
Thick horizontal strips [0011],5100001450.0,-54.94,20
Chessboard [11001100/00110011],5100001450.0,-52.40,21
Chest,5100001450.0,-51.45,22
Dartboard,5100001450.0,-51.45,23
Random 1,5100001450.0,-52.07,24
Random 2,5100001450.0,-55.12,25
Random 3,5100001450.0,-49.39,26
Random 4,5100001450.0,-49.39,27
All elements turn off,5130001460.0,-41.72,1
All elements turn on,5130001460.0,-41.70,2
Only first element turn on,5130001460.0,-41.70,3
Only last element turn on,5130001460.0,-41.74,4
Left side on,5130001460.0,-41.80,5
Right side on,5130001460.0,-48.65,6
Upper half on,5130001460.0,-49.04,7
Lower half on,5130001460.0,-56.21,8
Vertical strips [1010],5130001460.0,-53.06,9
Vertical strips [0101],5130001460.0,-53.00,10
Horizontal strips [1010],5130001460.0,-51.90,11
Horizontal strips [0101],5130001460.0,-51.88,12
Chessboard [1010/0101],5130001460.0,-52.28,13
Chessboard [0101/1010],5130001460.0,-52.73,14
Thick vertical strips [1100],5130001450.0,-52.43,15
Thick vertical strips [0011],5130001460.0,-50.48,16
Thicker vertical strips [11110000],5130001460.0,-50.48,17
Thicker vertical strips [00001111],5130001450.0,-50.09,18
Thick horizontal strips [1100],5130001460.0,-50.05,19
Thick horizontal strips [0011],5130001450.0,-56.89,20
Chessboard [11001100/00110011],5130001450.0,-53.30,21
Chest,5130001460.0,-52.44,22
Dartboard,5130001450.0,-52.30,23
Random 1,5130001450.0,-52.29,24
Random 2,5130001450.0,-56.48,25
Random 3,5130001450.0,-49.61,26
Random 4,5130001450.0,-49.59,27
All elements turn off,5160001460.0,-42.80,1
All elements turn on,5160001460.0,-42.79,2
Only first element turn on,5160001460.0,-42.83,3
Only last element turn on,5160001460.0,-42.84,4
Left side on,5160001460.0,-42.87,5
Right side on,5160001460.0,-48.08,6
Upper half on,5160001460.0,-52.76,7
Lower half on,5160001460.0,-56.36,8
Vertical strips [1010],5160001460.0,-55.45,9
Vertical strips [0101],5160001460.0,-55.44,10
Horizontal strips [1010],5160001460.0,-54.31,11
Horizontal strips [0101],5160001460.0,-54.15,12
Chessboard [1010/0101],5160001460.0,-54.17,13
Chessboard [0101/1010],5160001460.0,-55.49,14
Thick vertical strips [1100],5160001460.0,-52.12,15
Thick vertical strips [0011],5160001460.0,-51.43,16
Thicker vertical strips [11110000],5160001460.0,-50.27,17
Thicker vertical strips [00001111],5160001460.0,-50.07,18
Thick horizontal strips [1100],5160001460.0,-50.09,19
Thick horizontal strips [0011],5160001460.0,-60.70,20
Chessboard [11001100/00110011],5160001460.0,-54.39,21
Chest,5160001460.0,-54.35,22
Dartboard,5160001460.0,-53.47,23
Random 1,5160001460.0,-53.49,24
Random 2,5160001460.0,-57.99,25
Random 3,5160001460.0,-52.22,26
Random 4,5160001460.0,-52.24,27
All elements turn off,5190001470.0,-40.65,1
All elements turn on,5190001470.0,-40.66,2
Only first element turn on,5190001470.0,-40.65,3
Only last element turn on,5190001470.0,-40.70,4
Left side on,5190001470.0,-40.71,5
Right side on,5190001470.0,-43.75,6
Upper half on,5190001470.0,-50.04,7
Lower half on,5190001470.0,-50.04,8
Vertical strips [1010],5190001470.0,-52.11,9
Vertical strips [0101],5190001470.0,-52.11,10
Horizontal strips [1010],5190001470.0,-51.60,11
Horizontal strips [0101],5190001470.0,-50.82,12
Chessboard [1010/0101],5190001470.0,-50.82,13
Chessboard [0101/1010],5190001470.0,-53.71,14
Thick vertical strips [1100],5190001470.0,-47.67,15
Thick vertical strips [0011],5190001470.0,-47.33,16
Thicker vertical strips [11110000],5190001470.0,-47.18,17
Thicker vertical strips [00001111],5190001470.0,-45.93,18
Thick horizontal strips [1100],5190001470.0,-46.01,19
Thick horizontal strips [0011],5190001470.0,-56.84,20
Chessboard [11001100/00110011],5190001470.0,-49.84,21
Chest,5190001470.0,-49.72,22
Dartboard,5190001470.0,-49.21,23
Random 1,5190001470.0,-49.31,24
Random 2,5190001470.0,-52.62,25
Random 3,5190001470.0,-52.62,26
Random 4,5190001470.0,-51.07,27
All elements turn off,5220001480.0,-41.74,1
All elements turn on,5220001480.0,-41.74,2
Only first element turn on,5220001480.0,-41.76,3
Only last element turn on,5220001480.0,-41.76,4
Left side on,5220001480.0,-41.81,5
Right side on,5220001480.0,-42.76,6
Upper half on,5220001480.0,-48.57,7
Lower half on,5220001480.0,-48.65,8
Vertical strips [1010],5220001480.0,-49.58,9
Vertical strips [0101],5220001480.0,-49.47,10
Horizontal strips [1010],5220001480.0,-49.44,11
Horizontal strips [0101],5220001480.0,-48.68,12
Chessboard [1010/0101],5220001480.0,-48.71,13
Chessboard [0101/1010],5220001480.0,-51.92,14
Thick vertical strips [1100],5220001480.0,-46.22,15
Thick vertical strips [0011],5220001470.0,-45.76,16
Thicker vertical strips [11110000],5220001470.0,-45.75,17
Thicker vertical strips [00001111],5220001470.0,-45.55,18
Thick horizontal strips [1100],5220001470.0,-45.60,19
Thick horizontal strips [0011],5220001470.0,-53.65,20
Chessboard [11001100/00110011],5220001470.0,-47.68,21
Chest,5220001470.0,-47.66,22
Dartboard,5220001470.0,-47.19,23
Random 1,5220001470.0,-47.23,24
Random 2,5220001470.0,-49.88,25
Random 3,5220001470.0,-49.88,26
Random 4,5220001470.0,-48.98,27
All elements turn off,5250001480.0,-39.92,1
All elements turn on,5250001480.0,-39.94,2
Only first element turn on,5250001480.0,-39.91,3
Only last element turn on,5250001480.0,-39.92,4
Left side on,5250001480.0,-40.00,5
Right side on,5250001480.0,-40.50,6
Upper half on,5250001480.0,-46.25,7
Lower half on,5250001480.0,-46.26,8
Vertical strips [1010],5250001480.0,-46.30,9
Vertical strips [0101],5250001480.0,-45.90,10
Horizontal strips [1010],5250001480.0,-45.91,11
Horizontal strips [0101],5250001480.0,-45.67,12
Chessboard [1010/0101],5250001480.0,-45.64,13
Chessboard [0101/1010],5250001480.0,-48.56,14
Thick vertical strips [1100],5250001480.0,-43.47,15
Thick vertical strips [0011],5250001480.0,-43.41,16
Thicker vertical strips [11110000],5250001480.0,-43.42,17
Thicker vertical strips [00001111],5250001480.0,-43.95,18
Thick horizontal strips [1100],5250001480.0,-43.95,19
Thick horizontal strips [0011],5250001480.0,-48.21,20
Chessboard [11001100/00110011],5250001480.0,-44.43,21
Chest,5250001480.0,-44.42,22
Dartboard,5250001480.0,-44.10,23
Random 1,5250001480.0,-44.11,24
Random 2,5250001480.0,-46.45,25
Random 3,5250001480.0,-46.44,26
Random 4,5250001480.0,-45.70,27
All elements turn off,5280001490.0,-42.27,1
All elements turn on,5280001490.0,-42.27,2
Only first element turn on,5280001490.0,-42.24,3
Only last element turn on,5280001490.0,-42.25,4
Left side on,5280001490.0,-41.73,5
Right side on,5280001490.0,-41.73,6
Upper half on,5280001490.0,-47.79,7
Lower half on,5280001490.0,-47.71,8
Vertical strips [1010],5280001490.0,-46.75,9
Vertical strips [0101],5280001490.0,-46.36,10
Horizontal strips [1010],5280001490.0,-46.40,11
Horizontal strips [0101],5280001490.0,-46.32,12
Chessboard [1010/0101],5280001490.0,-46.32,13
Chessboard [0101/1010],5280001490.0,-48.55,14
Thick vertical strips [1100],5280001490.0,-44.87,15
Thick vertical strips [0011],5280001490.0,-44.89,16
Thicker vertical strips [11110000],5280001490.0,-45.47,17
Thicker vertical strips [00001111],5280001490.0,-44.50,18
Thick horizontal strips [1100],5280001490.0,-44.49,19
Thick horizontal strips [0011],5280001490.0,-48.59,20
Chessboard [11001100/00110011],5280001490.0,-46.04,21
Chest,5280001490.0,-46.05,22
Dartboard,5280001490.0,-44.95,23
Random 1,5280001490.0,-44.94,24
Random 2,5280001490.0,-46.09,25
Random 3,5280001490.0,-46.10,26
Random 4,5280001490.0,-45.04,27
All elements turn off,5310001490.0,-39.98,1
All elements turn on,5310001490.0,-39.97,2
Only first element turn on,5310001490.0,-39.94,3
Only last element turn on,5310001490.0,-39.95,4
Left side on,5310001490.0,-40.02,5
Right side on,5310001490.0,-40.06,6
Upper half on,5310001490.0,-45.53,7
Lower half on,5310001490.0,-45.53,8
Vertical strips [1010],5310001490.0,-43.98,9
Vertical strips [0101],5310001490.0,-43.58,10
Horizontal strips [1010],5310001490.0,-43.58,11
Horizontal strips [0101],5310001490.0,-43.33,12
Chessboard [1010/0101],5310001490.0,-43.33,13
Chessboard [0101/1010],5310001490.0,-45.30,14
Thick vertical strips [1100],5310001490.0,-42.85,15
Thick vertical strips [0011],5310001490.0,-42.85,16
Thicker vertical strips [11110000],5310001490.0,-44.17,17
Thicker vertical strips [00001111],5310001490.0,-41.99,18
Thick horizontal strips [1100],5310001490.0,-42.00,19
Thick horizontal strips [0011],5310001490.0,-45.55,20
