All elements turn off,5100001290.0,-41.77,1
All elements turn on,5100001300.0,-41.87,2
Only first element turn on,5100001300.0,-41.48,3
Only last element turn on,5100001300.0,-41.49,4
Left side on,5100001300.0,-41.86,5
Right side on,5100001300.0,-42.70,6
Upper half on,5100001300.0,-42.61,7
Lower half on,5100001300.0,-49.13,8
Vertical strips [1010],5100001300.0,-46.05,9
Vertical strips [0101],5100001300.0,-46.11,10
Horizontal strips [1010],5100001300.0,-47.78,11
Horizontal strips [0101],5100001300.0,-47.18,12
Chessboard [1010/0101],5100001300.0,-47.22,13
Chessboard [0101/1010],5100001300.0,-48.55,14
Thick vertical strips [1100],5100001300.0,-47.12,15
Thick vertical strips [0011],5100001300.0,-47.12,16
Thicker vertical strips [11110000],5100001300.0,-48.73,17
Thicker vertical strips [00001111],5100001300.0,-45.33,18
Thick horizontal strips [1100],5100001300.0,-45.36,19
Thick horizontal strips [0011],5100001300.0,-49.83,20
Chessboard [11001100/00110011],5100001300.0,-47.41,21
Chest,5100001300.0,-47.41,22
Dartboard,5100001300.0,-48.95,23
Random 1,5100001300.0,-48.25,24
Random 2,5100001300.0,-47.34,25
Random 3,5100001300.0,-46.59,26
Random 4,5100001300.0,-46.61,27
All elements turn off,5130001300.0,-41.57,1
All elements turn on,5130001300.0,-41.56,2
Only first element turn on,5130001300.0,-41.28,3
Only last element turn on,5130001300.0,-41.28,4
Left side on,5130001300.0,-41.57,5
Right side on,5130001300.0,-42.60,6
Upper half on,5130001300.0,-42.58,7
Lower half on,5130001300.0,-51.31,8
Vertical strips [1010],5130001300.0,-47.03,9
Vertical strips [0101],5130001300.0,-47.04,10
Horizontal strips [1010],5130001300.0,-48.64,11
Horizontal strips [0101],5130001300.0,-47.96,12
Chessboard [1010/0101],5130001300.0,-47.93,13
Chessboard [0101/1010],5130001300.0,-49.21,14
Thick vertical strips [1100],5130001300.0,-48.83,15
Thick vertical strips [0011],5130001300.0,-48.89,16
Thicker vertical strips [11110000],5130001300.0,-50.07,17
Thicker vertical strips [00001111],5130001300.0,-46.65,18
Thick horizontal strips [1100],5130001300.0,-46.67,19
Thick horizontal strips [0011],5130001300.0,-51.74,20
Chessboard [11001100/00110011],5130001300.0,-48.29,21
Chest,5130001300.0,-48.29,22
Dartboard,5130001300.0,-50.16,23
Random 1,5130001300.0,-49.91,24
Random 2,5130001300.0,-48.77,25
Random 3,5130001300.0,-47.24,26
Random 4,5130001300.0,-47.27,27
All elements turn off,5160001310.0,-42.19,1
All elements turn on,5160001310.0,-42.22,2
Only first element turn on,5160001310.0,-41.94,3
Only last element turn on,5160001310.0,-41.94,4
Left side on,5160001310.0,-42.17,5
Right side on,5160001310.0,-42.87,6
Upper half on,5160001310.0,-42.86,7
Lower half on,5160001310.0,-53.16,8
Vertical strips [1010],5160001310.0,-48.23,9
Vertical strips [0101],5160001310.0,-48.26,10
Horizontal strips [1010],5160001310.0,-49.80,11
Horizontal strips [0101],5160001310.0,-49.26,12
Chessboard [1010/0101],5160001310.0,-49.23,13
Chessboard [0101/1010],5160001310.0,-50.47,14
Thick vertical strips [1100],5160001310.0,-50.46,15
Thick vertical strips [0011],5160001310.0,-50.80,16
Thicker vertical strips [11110000],5160001310.0,-51.23,17
Thicker vertical strips [00001111],5160001310.0,-47.91,18
Thick horizontal strips [1100],5160001310.0,-47.93,19
Thick horizontal strips [0011],5160001310.0,-53.47,20
Chessboard [11001100/00110011],5160001310.0,-49.48,21
Chest,5160001310.0,-49.47,22
Dartboard,5160001310.0,-51.89,23
Random 1,5160001310.0,-51.83,24
Random 2,5160001310.0,-50.38,25
Random 3,5160001310.0,-48.74,26
Random 4,5160001310.0,-48.72,27
All elements turn off,5190001320.0,-39.18,1
All elements turn on,5190001320.0,-39.18,2
Only first element turn on,5190001320.0,-38.97,3
Only last element turn on,5190001320.0,-38.97,4
Left side on,5190001320.0,-39.16,5
Right side on,5190001320.0,-38.96,6
Upper half on,5190001320.0,-38.97,7
Lower half on,5190001320.0,-48.74,8
Vertical strips [1010],5190001320.0,-45.67,9
Vertical strips [0101],5190001320.0,-45.69,10
Horizontal strips [1010],5190001320.0,-47.04,11
Horizontal strips [0101],5190001320.0,-46.80,12
Chessboard [1010/0101],5190001320.0,-46.80,13
Chessboard [0101/1010],5190001320.0,-48.44,14
Thick vertical strips [1100],5190001320.0,-47.64,15
Thick vertical strips [0011],5190001320.0,-47.06,16
Thicker vertical strips [11110000],5190001320.0,-47.06,17
Thicker vertical strips [00001111],5190001320.0,-43.34,18
Thick horizontal strips [1100],5190001320.0,-43.35,19
Thick horizontal strips [0011],5190001320.0,-49.17,20
Chessboard [11001100/00110011],5190001320.0,-45.87,21
Chest,5190001320.0,-45.87,22
Dartboard,5190001320.0,-48.77,23
Random 1,5190001320.0,-48.78,24
Random 2,5190001320.0,-47.13,25
Random 3,5190001320.0,-46.47,26
Random 4,5190001320.0,-46.50,27
All elements turn off,5220001320.0,-39.90,1
All elements turn on,5220001320.0,-39.89,2
Only first element turn on,5220001320.0,-39.71,3
Only last element turn on,5220001320.0,-39.70,4
Left side on,5220001320.0,-39.88,5
Right side on,5220001320.0,-38.91,6
Upper half on,5220001320.0,-38.94,7
Lower half on,5220001320.0,-47.86,8
Vertical strips [1010],5220001320.0,-45.86,9
Vertical strips [0101],5220001320.0,-45.86,10
Horizontal strips [1010],5220001320.0,-46.79,11
Horizontal strips [0101],5220001320.0,-46.79,12
Chessboard [1010/0101],5220001320.0,-46.87,13
Chessboard [0101/1010],5220001320.0,-48.76,14
Thick vertical strips [1100],5220001320.0,-47.16,15
Thick vertical strips [0011],5220001320.0,-46.58,16
Thicker vertical strips [11110000],5220001320.0,-46.66,17
Thicker vertical strips [00001111],5220001320.0,-42.85,18
Thick horizontal strips [1100],5220001320.0,-42.85,19
Thick horizontal strips [0011],5220001320.0,-48.07,20
Chessboard [11001100/00110011],5220001320.0,-45.46,21
Chest,5220001320.0,-45.45,22
Dartboard,5220001320.0,-48.12,23
Random 1,5220001320.0,-48.13,24
Random 2,5220001320.0,-46.52,25
Random 3,5220001320.0,-46.53,26
Random 4,5220001320.0,-47.05,27
All elements turn off,5250001330.0,-39.40,1
All elements turn on,5250001330.0,-39.40,2
Only first element turn on,5250001330.0,-39.21,3
Only last element turn on,5250001330.0,-39.21,4
Left side on,5250001330.0,-39.39,5
Right side on,5250001330.0,-38.04,6
Upper half on,5250001330.0,-38.04,7
Lower half on,5250001330.0,-45.70,8
Vertical strips [1010],5250001330.0,-43.35,9
Vertical strips [0101],5250001330.0,-43.35,10
Horizontal strips [1010],5250001330.0,-43.87,11
Horizontal strips [0101],5250001330.0,-43.87,12
Chessboard [1010/0101],5250001330.0,-44.10,13
Chessboard [0101/1010],5250001330.0,-45.55,14
Thick vertical strips [1100],5250001330.0,-45.00,15
Thick vertical strips [0011],5250001330.0,-45.00,16
Thicker vertical strips [11110000],5250001330.0,-45.00,17
Thicker vertical strips [00001111],5250001330.0,-41.43,18
Thick horizontal strips [1100],5250001330.0,-41.43,19
Thick horizontal strips [0011],5250001330.0,-45.50,20
Chessboard [11001100/00110011],5250001330.0,-43.13,21
Chest,5250001330.0,-43.13,22
Dartboard,5250001330.0,-45.11,23
Random 1,5250001330.0,-45.11,24
Random 2,5250001330.0,-43.77,25
Random 3,5250001330.0,-43.77,26
Random 4,5250001330.0,-44.64,27
All elements turn off,5280001340.0,-41.05,1
All elements turn on,5280001340.0,-41.05,2
Only first element turn on,5280001340.0,-40.84,3
Only last element turn on,5280001340.0,-40.87,4
Left side on,5280001340.0,-41.04,5
Right side on,5280001340.0,-39.82,6
Upper half on,5280001340.0,-39.83,7
Lower half on,5280001340.0,-46.05,8
Vertical strips [1010],5280001340.0,-43.20,9
Vertical strips [0101],5280001340.0,-43.21,10
Horizontal strips [1010],5280001340.0,-43.48,11
Horizontal strips [0101],5280001340.0,-43.49,12
Chessboard [1010/0101],5280001340.0,-43.73,13
Chessboard [0101/1010],5280001340.0,-44.68,14
Thick vertical strips [1100],5280001340.0,-44.67,15
Thick vertical strips [0011],5280001340.0,-45.21,16
Thicker vertical strips [11110000],5280001340.0,-45.27,17
Thicker vertical strips [00001111],5280001340.0,-42.23,18
Thick horizontal strips [1100],5280001340.0,-42.24,19
Thick horizontal strips [0011],5280001340.0,-45.18,20
Chessboard [11001100/00110011],5280001340.0,-43.48,21
Chest,5280001340.0,-43.48,22
Dartboard,5280001340.0,-44.65,23
Random 1,5280001340.0,-44.65,24
Random 2,5280001340.0,-43.81,25
Random 3,5280001340.0,-43.82,26
Random 4,5280001340.0,-44.04,27
All elements turn off,5310001350.0,-39.73,1
All elements turn on,5310001350.0,-39.74,2
Only first element turn on,5310001350.0,-39.57,3
Only last element turn on,5310001350.0,-39.57,4
Left side on,5310001350.0,-39.74,5
Right side on,5310001340.0,-38.68,6
Upper half on,5310001340.0,-38.68,7
Lower half on,5310001340.0,-43.92,8
Vertical strips [1010],5310001340.0,-40.68,9
Vertical strips [0101],5310001340.0,-40.69,10
Horizontal strips [1010],5310001350.0,-40.86,11
Horizontal strips [0101],5310001350.0,-40.86,12
Chessboard [1010/0101],5310001350.0,-41.09,13
Chessboard [0101/1010],5310001340.0,-41.67,14
Thick vertical strips [1100],5310001340.0,-41.67,15
Thick vertical strips [0011],5310001350.0,-42.92,16
Thicker vertical strips [11110000],5310001350.0,-43.07,17
Thicker vertical strips [00001111],5310001350.0,-40.87,18
Thick horizontal strips [1100],5310001350.0,-40.86,19
Thick horizontal strips [0011],5310001350.0,-42.59,20
Chessboard [11001100/00110011],5310001350.0,-41.52,21
Chest,5310001350.0,-41.52,22
Dartboard,5310001350.0,-42.01,23
Random 1,5310001350.0,-42.02,24
Random 2,5310001350.0,-41.82,25
Random 3,5310001350.0,-41.01,26
Random 4,5310001350.0,-41.02,27
All elements turn off,5340001350.0,-39.51,1
All elements turn on,5340001350.0,-39.53,2
Only first element turn on,5340001350.0,-39.38,3
Only last element turn on,5340001350.0,-39.37,4
Left side on,5340001350.0,-39.54,5
Right side on,5340001350.0,-38.87,6
Upper half on,5340001350.0,-38.85,7
Lower half on,5340001350.0,-43.68,8
Vertical strips [1010],5340001350.0,-40.20,9
Vertical strips [0101],5340001350.0,-40.19,10
Horizontal strips [1010],5340001350.0,-40.35,11
Horizontal strips [0101],5340001350.0,-40.35,12
Chessboard [1010/0101],5340001350.0,-40.54,13
Chessboard [0101/1010],5340001350.0,-40.86,14
Thick vertical strips [1100],5340001350.0,-40.84,15
Thick vertical strips [0011],5340001350.0,-42.50,16
Thicker vertical strips [11110000],5340001350.0,-42.61,17
Thicker vertical strips [00001111],5340001350.0,-40.96,18
Thick horizontal strips [1100],5340001350.0,-40.97,19
Thick horizontal strips [0011],5340001350.0,-42.20,20
Chessboard [11001100/00110011],5340001350.0,-41.48,21
Chest,5340001350.0,-41.48,22
Dartboard,5340001350.0,-41.58,23
Random 1,5340001350.0,-41.58,24
Random 2,5340001350.0,-42.05,25
Random 3,5340001350.0,-39.81,26
Random 4,5340001350.0,-39.81,27
All elements turn off,5370001360.0,-38.94,1
All elements turn on,5370001360.0,-38.68,2
Only first element turn on,5370001360.0,-38.68,3
Only last element turn on,5370001360.0,-38.75,4
Left side on,5370001360.0,-38.95,5
Right side on,5370001360.0,-38.36,6
Upper half on,5370001360.0,-38.36,7
Lower half on,5370001360.0,-42.96,8
Vertical strips [1010],5370001360.0,-38.90,9
Vertical strips [0101],5370001360.0,-38.90,10
Horizontal strips [1010],5370001360.0,-39.10,11
Horizontal strips [0101],5370001360.0,-39.11,12
Chessboard [1010/0101],5370001360.0,-39.25,13
Chessboard [0101/1010],5370001360.0,-39.42,14
Thick vertical strips [1100],5370001360.0,-39.42,15
Thick vertical strips [0011],5370001360.0,-41.28,16
Thicker vertical strips [11110000],5370001360.0,-42.10,17
Thicker vertical strips [00001111],5370001360.0,-40.49,18
Thick horizontal strips [1100],5370001360.0,-40.50,19
Thick horizontal strips [0011],5370001360.0,-41.25,20
Chessboard [11001100/00110011],5370001360.0,-40.82,21
Chest,5370001360.0,-40.81,22
Dartboard,5370001360.0,-40.53,23
Random 1,5370001360.0,-40.53,24
Random 2,5370001360.0,-41.18,25
Random 3,5370001360.0,-38.43,26
Random 4,5370001360.0,-38.43,27
All elements turn off,5400001370.0,-38.77,1
All elements turn on,5400001370.0,-37.84,2
Only first element turn on,5400001370.0,-37.84,3
Only last element turn on,5400001370.0,-38.53,4
Left side on,5400001370.0,-37.57,5
Right side on,5400001370.0,-37.57,6
Upper half on,5400001370.0,-38.71,7
Lower half on,5400001370.0,-42.77,8
Vertical strips [1010],5400001370.0,-38.44,9
Vertical strips [0101],5400001370.0,-38.43,10
Horizontal strips [1010],5400001370.0,-38.46,11
Horizontal strips [0101],5400001370.0,-38.46,12
Chessboard [1010/0101],5400001370.0,-38.59,13
Chessboard [0101/1010],5400001370.0,-38.69,14
Thick vertical strips [1100],5400001370.0,-38.69,15
Thick vertical strips [0011],5400001370.0,-40.79,16
Thicker vertical strips [11110000],5400001370.0,-42.49,17
Thicker vertical strips [00001111],5400001370.0,-40.23,18
Thick horizontal strips [1100],5400001370.0,-40.23,19
Thick horizontal strips [0011],5400001360.0,-40.97,20
Chessboard [11001100/00110011],5400001370.0,-40.80,21
Chest,5400001360.0,-40.81,22
Dartboard,5400001370.0,-40.03,23
Random 1,5400001370.0,-40.04,24
Random 2,5400001370.0,-40.68,25
Random 3,5400001370.0,-37.95,26
Random 4,5400001370.0,-37.96,27
All elements turn off,5430001370.0,-40.17,1
All elements turn on,5430001370.0,-37.75,2
Only first element turn on,5430001370.0,-37.74,3
Only last element turn on,5430001370.0,-39.90,4
Left side on,5430001370.0,-36.99,5
Right side on,5430001370.0,-37.00,6
Upper half on,5430001370.0,-40.43,7
Lower half on,5430001370.0,-44.29,8
Vertical strips [1010],5430001370.0,-39.32,9
Vertical strips [0101],5430001370.0,-39.33,10
Horizontal strips [1010],5430001370.0,-39.23,11
Horizontal strips [0101],5430001370.0,-39.24,12
Chessboard [1010/0101],5430001370.0,-39.25,13
Chessboard [0101/1010],5430001370.0,-39.21,14
Thick vertical strips [1100],5430001370.0,-39.21,15
Thick vertical strips [0011],5430001370.0,-42.37,16
Thicker vertical strips [11110000],5430001370.0,-44.81,17
Thicker vertical strips [00001111],5430001370.0,-42.12,18
Thick horizontal strips [1100],5430001370.0,-42.12,19
Thick horizontal strips [0011],5430001370.0,-42.70,20
Chessboard [11001100/00110011],5430001370.0,-42.77,21
Chest,5430001370.0,-42.77,22
Dartboard,5430001370.0,-41.43,23
Random 1,5430001370.0,-41.41,24
Random 2,5430001370.0,-41.95,25
Random 3,5430001370.0,-39.30,26
Random 4,5430001370.0,-39.30,27
All elements turn off,5460001380.0,-42.00,1
All elements turn on,5460001380.0,-37.98,2
Only first element turn on,5460001380.0,-37.98,3
Only last element turn on,5460001380.0,-41.78,4
Left side on,5460001380.0,-37.03,5
Right side on,5460001380.0,-37.04,6
Upper half on,5460001380.0,-42.18,7
Lower half on,5460001380.0,-45.66,8
Vertical strips [1010],5460001380.0,-40.64,9
Vertical strips [0101],5460001380.0,-40.64,10
Horizontal strips [1010],5460001380.0,-40.13,11
Horizontal strips [0101],5460001380.0,-40.13,12
Chessboard [1010/0101],5460001380.0,-39.96,13
