All elements turn off,5100001210.0,-38.66,1
All elements turn on,5100001220.0,-38.67,2
Only first element turn on,5100001220.0,-38.48,3
Only last element turn on,5100001220.0,-38.49,4
Left side on,5100001220.0,-38.72,5
Right side on,5100001220.0,-38.13,6
Upper half on,5100001220.0,-38.13,7
Lower half on,5100001220.0,-50.47,8
Vertical strips [1010],5100001220.0,-50.47,9
Vertical strips [0101],5100001220.0,-57.53,10
Horizontal strips [1010],5100001220.0,-62.21,11
Horizontal strips [0101],5100001220.0,-62.21,12
Chessboard [1010/0101],5100001220.0,-63.32,13
Chessboard [0101/1010],5100001220.0,-68.02,14
Thick vertical strips [1100],5100001220.0,-48.55,15
Thick vertical strips [0011],5100001220.0,-48.55,16
Thicker vertical strips [11110000],5100001220.0,-50.76,17
Thicker vertical strips [00001111],5100001220.0,-49.00,18
Thick horizontal strips [1100],5100001220.0,-49.00,19
Thick horizontal strips [0011],5100001220.0,-50.54,20
Chessboard [11001100/00110011],5100001220.0,-51.00,21
Chest,5100001220.0,-50.90,22
Dartboard,5100001220.0,-50.90,23
Random 1,5100001220.0,-61.87,24
Random 2,5100001220.0,-60.31,25
Random 3,5100001220.0,-54.73,26
Random 4,5100001220.0,-54.74,27
All elements turn off,5130001220.0,-36.79,1
All elements turn on,5130001220.0,-36.79,2
Only first element turn on,5130001220.0,-36.61,3
Only last element turn on,5130001220.0,-36.61,4
Left side on,5130001220.0,-36.81,5
Right side on,5130001220.0,-36.81,6
Upper half on,5130001220.0,-36.81,7
Lower half on,5130001220.0,-45.95,8
Vertical strips [1010],5130001220.0,-45.95,9
Vertical strips [0101],5130001220.0,-50.33,10
Horizontal strips [1010],5130001220.0,-51.37,11
Horizontal strips [0101],5130001220.0,-51.53,12
Chessboard [1010/0101],5130001220.0,-51.90,13
Chessboard [0101/1010],5130001220.0,-56.29,14
Thick vertical strips [1100],5130001220.0,-44.61,15
Thick vertical strips [0011],5130001220.0,-44.61,16
Thicker vertical strips [11110000],5130001220.0,-46.57,17
Thicker vertical strips [00001111],5130001220.0,-44.99,18
Thick horizontal strips [1100],5130001220.0,-44.99,19
Thick horizontal strips [0011],5130001220.0,-46.24,20
Chessboard [11001100/00110011],5130001220.0,-46.44,21
Chest,5130001220.0,-47.58,22
Dartboard,5130001220.0,-48.28,23
Random 1,5130001220.0,-51.18,24
Random 2,5130001220.0,-50.43,25
Random 3,5130001220.0,-48.86,26
Random 4,5130001220.0,-48.86,27
All elements turn off,5160001230.0,-36.67,1
All elements turn on,5160001230.0,-36.67,2
Only first element turn on,5160001230.0,-36.51,3
Only last element turn on,5160001230.0,-36.51,4
Left side on,5160001230.0,-36.69,5
Right side on,5160001230.0,-36.95,6
Upper half on,5160001230.0,-36.95,7
Lower half on,5160001230.0,-43.85,8
Vertical strips [1010],5160001230.0,-43.85,9
Vertical strips [0101],5160001230.0,-46.16,10
Horizontal strips [1010],5160001230.0,-47.04,11
Horizontal strips [0101],5160001230.0,-47.07,12
Chessboard [1010/0101],5160001230.0,-47.18,13
Chessboard [0101/1010],5160001230.0,-49.79,14
Thick vertical strips [1100],5160001230.0,-42.75,15
Thick vertical strips [0011],5160001230.0,-42.75,16
Thicker vertical strips [11110000],5160001230.0,-44.47,17
Thicker vertical strips [00001111],5160001230.0,-44.13,18
Thick horizontal strips [1100],5160001230.0,-44.13,19
Thick horizontal strips [0011],5160001230.0,-44.41,20
Chessboard [11001100/00110011],5160001230.0,-44.52,21
Chest,5160001230.0,-44.52,22
