All elements turn off,5100001330.0,-43.71,1
All elements turn on,5100001330.0,-43.68,2
Only first element turn on,5100001330.0,-43.66,3
Only last element turn on,5100001330.0,-43.51,4
Left side on,5100001330.0,-43.60,5
Right side on,5100001330.0,-49.94,6
Upper half on,5100001330.0,-48.70,7
Lower half on,5100001330.0,-47.98,8
Vertical strips [1010],5100001330.0,-47.91,9
Vertical strips [0101],5100001330.0,-48.45,10
Horizontal strips [1010],5100001330.0,-48.39,11
Horizontal strips [0101],5100001330.0,-48.71,12
Chessboard [1010/0101],5100001330.0,-48.72,13
Chessboard [0101/1010],5100001330.0,-49.75,14
Thick vertical strips [1100],5100001330.0,-47.37,15
Thick vertical strips [0011],5100001330.0,-47.51,16
Thicker vertical strips [11110000],5100001330.0,-48.65,17
Thicker vertical strips [00001111],5100001330.0,-46.68,18
Thick horizontal strips [1100],5100001330.0,-46.69,19
Thick horizontal strips [0011],5100001330.0,-47.35,20
Chessboard [11001100/00110011],5100001330.0,-47.41,21
Chest,5100001330.0,-44.62,22
Dartboard,5100001330.0,-44.57,23
Random 1,5100001330.0,-48.08,24
Random 2,5100001330.0,-47.72,25
Random 3,5100001330.0,-47.79,26
Random 4,5100001330.0,-45.94,27
All elements turn off,5130001340.0,-44.58,1
All elements turn on,5130001340.0,-44.60,2
Only first element turn on,5130001340.0,-44.63,3
Only last element turn on,5130001340.0,-44.59,4
Left side on,5130001340.0,-44.59,5
Right side on,5130001340.0,-49.91,6
Upper half on,5130001340.0,-49.03,7
Lower half on,5130001340.0,-47.76,8
Vertical strips [1010],5130001340.0,-47.76,9
Vertical strips [0101],5130001340.0,-47.94,10
Horizontal strips [1010],5130001340.0,-47.94,11
Horizontal strips [0101],5130001340.0,-48.10,12
Chessboard [1010/0101],5130001340.0,-48.10,13
Chessboard [0101/1010],5130001340.0,-48.81,14
Thick vertical strips [1100],5130001340.0,-46.47,15
Thick vertical strips [0011],5130001340.0,-46.47,16
Thicker vertical strips [11110000],5130001340.0,-49.10,17
Thicker vertical strips [00001111],5130001340.0,-47.11,18
Thick horizontal strips [1100],5130001340.0,-47.11,19
Thick horizontal strips [0011],5130001340.0,-47.84,20
Chessboard [11001100/00110011],5130001340.0,-47.84,21
Chest,5130001340.0,-44.26,22
Dartboard,5130001340.0,-44.26,23
Random 1,5130001340.0,-47.13,24
Random 2,5130001340.0,-46.98,25
Random 3,5130001340.0,-46.98,26
Random 4,5130001340.0,-45.18,27
All elements turn off,5160001350.0,-45.17,1
All elements turn on,5160001350.0,-46.50,2
Only first element turn on,5160001350.0,-46.52,3
Only last element turn on,5160001350.0,-46.47,4
Left side on,5160001350.0,-46.47,5
Right side on,5160001350.0,-49.32,6
Upper half on,5160001350.0,-49.59,7
Lower half on,5160001350.0,-47.71,8
Vertical strips [1010],5160001350.0,-47.71,9
Vertical strips [0101],5160001350.0,-47.65,10
Horizontal strips [1010],5160001350.0,-47.65,11
Horizontal strips [0101],5160001350.0,-47.72,12
Chessboard [1010/0101],5160001350.0,-47.73,13
Chessboard [0101/1010],5160001350.0,-48.30,14
Thick vertical strips [1100],5160001350.0,-46.11,15
Thick vertical strips [0011],5160001350.0,-46.11,16
Thicker vertical strips [11110000],5160001350.0,-48.40,17
Thicker vertical strips [00001111],5160001350.0,-48.63,18
Thick horizontal strips [1100],5160001350.0,-48.63,19
Thick horizontal strips [0011],5160001350.0,-48.71,20
Chessboard [11001100/00110011],5160001350.0,-48.62,21
Chest,5160001350.0,-44.98,22
Dartboard,5160001350.0,-44.98,23
Random 1,5160001350.0,-46.84,24
Random 2,5160001350.0,-46.66,25
Random 3,5160001350.0,-46.66,26
Random 4,5160001350.0,-45.18,27
All elements turn off,5190001360.0,-42.42,1
All elements turn on,5190001360.0,-43.96,2
Only first element turn on,5190001360.0,-43.96,3
Only last element turn on,5190001360.0,-45.78,4
Left side on,5190001360.0,-45.70,5
Right side on,5190001360.0,-45.70,6
Upper half on,5190001360.0,-46.90,7
Lower half on,5190001360.0,-44.99,8
Vertical strips [1010],5190001360.0,-44.99,9
Vertical strips [0101],5190001360.0,-44.45,10
Horizontal strips [1010],5190001360.0,-44.34,11
Horizontal strips [0101],5190001360.0,-44.30,12
Chessboard [1010/0101],5190001360.0,-44.30,13
Chessboard [0101/1010],5190001360.0,-44.83,14
Thick vertical strips [1100],5190001360.0,-44.10,15
Thick vertical strips [0011],5190001360.0,-44.10,16
Thicker vertical strips [11110000],5190001360.0,-44.34,17
Thicker vertical strips [00001111],5190001360.0,-44.83,18
Thick horizontal strips [1100],5190001360.0,-46.81,19
Thick horizontal strips [0011],5190001360.0,-46.03,20
Chessboard [11001100/00110011],5190001360.0,-45.75,21
Chest,5190001360.0,-43.00,22
Dartboard,5190001360.0,-43.00,23
Random 1,5190001360.0,-43.96,24
Random 2,5190001360.0,-43.52,25
Random 3,5190001360.0,-43.52,26
Random 4,5190001360.0,-42.42,27
All elements turn off,5220001370.0,-44.17,1
All elements turn on,5220001370.0,-44.65,2
Only first element turn on,5220001370.0,-44.66,3
Only last element turn on,5220001370.0,-48.69,4
Left side on,5220001370.0,-46.08,5
Right side on,5220001370.0,-46.08,6
Upper half on,5220001370.0,-47.87,7
Lower half on,5220001370.0,-46.49,8
Vertical strips [1010],5220001370.0,-46.49,9
Vertical strips [0101],5220001370.0,-45.64,10
Horizontal strips [1010],5220001370.0,-44.96,11
Horizontal strips [0101],5220001370.0,-44.90,12
Chessboard [1010/0101],5220001370.0,-44.90,13
Chessboard [0101/1010],5220001370.0,-45.55,14
Thick vertical strips [1100],5220001370.0,-45.59,15
Thick vertical strips [0011],5220001370.0,-44.53,16
Thicker vertical strips [11110000],5220001370.0,-44.53,17
Thicker vertical strips [00001111],5220001370.0,-46.12,18
Thick horizontal strips [1100],5220001370.0,-47.85,19
Thick horizontal strips [0011],5220001370.0,-47.32,20
Chessboard [11001100/00110011],5220001370.0,-46.96,21
Chest,5220001370.0,-45.43,22
Dartboard,5220001370.0,-45.43,23
Random 1,5220001370.0,-45.27,24
