All elements turn off,5100001200.0,-39.56,1
All elements turn on,5100001210.0,-39.63,2
Only first element turn on,5100001210.0,-39.45,3
Only last element turn on,5100001210.0,-39.41,4
Left side on,5100001210.0,-39.62,5
Right side on,5100001210.0,-39.36,6
Upper half on,5100001200.0,-39.38,7
Lower half on,5100001200.0,-44.25,8
Vertical strips [1010],5100001200.0,-43.48,9
Vertical strips [0101],5100001210.0,-43.52,10
Horizontal strips [1010],5100001200.0,-44.29,11
Horizontal strips [0101],5100001200.0,-44.26,12
Chessboard [1010/0101],5100001210.0,-44.37,13
Chessboard [0101/1010],5100001200.0,-45.46,14
Thick vertical strips [1100],5100001200.0,-42.79,15
Thick vertical strips [0011],5100001200.0,-42.78,16
Thicker vertical strips [11110000],5100001200.0,-44.55,17
Thicker vertical strips [00001111],5100001200.0,-41.87,18
Thick horizontal strips [1100],5100001200.0,-41.87,19
Thick horizontal strips [0011],5100001200.0,-43.97,20
Chessboard [11001100/00110011],5100001200.0,-43.39,21
Chest,5100001200.0,-43.38,22
Dartboard,5100001200.0,-44.88,23
Random 1,5100001200.0,-44.41,24
Random 2,5100001200.0,-44.36,25
Random 3,5100001200.0,-43.75,26
Random 4,5100001200.0,-43.75,27
All elements turn off,5130001210.0,-39.92,1
All elements turn on,5130001210.0,-39.92,2
Only first element turn on,5130001210.0,-39.72,3
Only last element turn on,5130001210.0,-39.72,4
Left side on,5130001210.0,-39.92,5
Right side on,5130001210.0,-40.04,6
Upper half on,5130001210.0,-40.04,7
Lower half on,5130001210.0,-45.41,8
Vertical strips [1010],5130001210.0,-43.72,9
Vertical strips [0101],5130001210.0,-43.72,10
Horizontal strips [1010],5130001210.0,-44.60,11
Horizontal strips [0101],5130001210.0,-44.60,12
Chessboard [1010/0101],5130001210.0,-44.60,13
Chessboard [0101/1010],5130001210.0,-45.60,14
Thick vertical strips [1100],5130001210.0,-43.84,15
Thick vertical strips [0011],5130001210.0,-43.84,16
Thicker vertical strips [11110000],5130001210.0,-45.83,17
Thicker vertical strips [00001111],5130001210.0,-43.17,18
Thick horizontal strips [1100],5130001210.0,-43.17,19
Thick horizontal strips [0011],5130001210.0,-45.07,20
Chessboard [11001100/00110011],5130001210.0,-43.88,21
Chest,5130001210.0,-43.88,22
Dartboard,5130001210.0,-45.49,23
Random 1,5130001210.0,-45.23,24
Random 2,5130001210.0,-45.06,25
Random 3,5130001210.0,-44.18,26
Random 4,5130001210.0,-44.18,27
All elements turn off,5160001220.0,-41.15,1
All elements turn on,5160001220.0,-41.16,2
Only first element turn on,5160001220.0,-40.96,3
Only last element turn on,5160001220.0,-40.96,4
Left side on,5160001220.0,-41.15,5
